S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,
1,"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, of the Word of life;",GENESIS 1:1,JOHN 1:1,1JOHN 1:1,3JOHN 1:1,3,,
2,"This then is the message which we have heard of him, and declare unto you, that God is light, and in him is no darkness at all.",1JOHN 1:1,1JOHN 1:3,1JOHN 1:5,1JOHN 1:7,3,,1Jn1:8-9
3,"If we say that we have fellowship with him, and walk in darkness, we lie, and do not the truth:",1JOHN 1:5,1JOHN 1:6,1JOHN 1:7,1JOHN 1:8,2,,1Jn1:10
4,"But if we walk in the light, as he is in the light, we have fellowhip one with another, and the blood of Jesus Christ his Son cleanseth us from all sin.",1JOHN 1:7,1JOHN 1:8,1JOHN 1:9,1JOHN 1:10,1,,1Jn2:15
5,"If we say that we have no sin, we deceive ourselves, and the truth is not in us.",1JOHN 1:7,1JOHN 1:8,1JOHN 1:9,1JOHN 1:10,2,,1Jn2:16-17
6,"If we confess our sins, he is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness.",1JOHN 1:7,1JOHN 1:8,1JOHN 1:9,1JOHN 1:10,3,,1Jn2:20
7,"If we say that we have not sinned, we make him a liar, and his word is not in us.",1JOHN 1:7,1JOHN 1:8,1JOHN 1:9,1JOHN 1:10,4,,1Jn3:1
8,"And hereby we do know that we know him, if we keep his commanments.",1JOHN 2:3,1JOHN 2:4,1JOHN 2:5,1JOHN 2:9,1,,1Jn3:4
9,"He that saith, I know him, and keepeth not his commandments, is a liar, and the truth is not in him.",1JOHN 2:3,1JOHN 2:4,1JOHN 2:5,1JOHN 2:9,2,,1Jn3:8
10,"But whoso keepeth his word, in him verily is the love of God perfected: hereby know we that we are in him.",1JOHN 2:3,1JOHN 2:4,1JOHN 2:5,1JOHN 2:9,3,,1Jn3:18
11,"He that saith he is in the light, and hateth his brother, is in darkness even until now.",1JOHN 2:3,1JOHN 2:4,1JOHN 2:5,1JOHN 2:9,4,,1Jn4:1
12,"Love not the world, neither the things that are in the world. If any man love the world, the love of the Father is not in him.",1JOHN 2:15,1JOHN 2:16,1JOHN 2:17,1JOHN 2:20,1,,1Jn4:4
13,"For all that is in the world, the lust of the flesh, and the lust of the eyes, and the pride of life, is not of the Father, but is of the world.",1JOHN 2:15,1JOHN 2:16,1JOHN 2:17,1JOHN 2:20,2,,1Jn4:7-8
14,"And the world passeth away, and the lust thereof: but he that doeth the will of God abideth for ever.",1JOHN 2:15,1JOHN 2:16,1JOHN 2:17,1JOHN 2:20,3,,1Jn4:11
15,"But ye have an unction from the Holy One, and ye know all things.",1JOHN 2:15,1JOHN 2:16,1JOHN 2:17,1JOHN 2:20,4,,1Jn4:18
16,"Who is a liar but he that denieth that Jesus is the Christ? He is antichrist, that denieth the Father and the Son.",1JOHN 2:22,1JOHN 2:25,1JOHN 2:27,1JOHN 2:28,1,,1Jn5:4
17,"And this is the promise that he hath promised us, even eternal life.",1JOHN 2:22,1JOHN 2:25,1JOHN 2:27,1JOHN 2:28,2,,1Jn5:7-8
18,"But the anointing which ye have received of him abideth in you, and ye need not that any man teach you: but as the same anointing teacheth you of all things, and is truth, and is no lie, and even as it hath taught you, ye shall abide in him.",1JOHN 2:22,1JOHN 2:25,1JOHN 2:27,1JOHN 2:28,3,,1Jn5:14
