S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,
1,"For our exhortation was not of deceit, nor of uncleaness, nor in guile:",1THESSALONIANS 2:3,1THESSALONIANS 2:10,1THESSALONIANS 2:20,1THESSALONIANS 3:8,1,,
2,"Ye are witnesses, and God also, how holily and justly and unblameably we behaved ourselves among you that believe:",1THESSALONIANS 2:3,1THESSALONIANS 2:10,1THESSALONIANS 2:20,1THESSALONIANS 3:8,2,,1Thes4:3
3,For ye are our glory and joy.,1THESSALONIANS 2:3,1THESSALONIANS 2:10,1THESSALONIANS 2:20,1THESSALONIANS 3:8,3,,1Thes4:7
4,"For now we live, if ye stand fast in the Lord",1THESSALONIANS 2:3,1THESSALONIANS 2:10,1THESSALONIANS 2:20,1THESSALONIANS 3:8,4,,1Thes5:8
5,"And the Lord make you to increase and abound in love one toward another, and toward all men, even as we do toward you:",1THESSALONIANS 3:8,1THESSALONIANS 3:12,1THESSALONIANS 4:3,1THESSALONIANS 4:4,2,,1Thes5:16
6,"For this is the will of God, even your sanctification, that ye should abstain from fornication:",1THESSALONIANS 3:8,1THESSALONIANS 3:12,1THESSALONIANS 4:3,1THESSALONIANS 4:4,3,,1Thes5:17
7,That everyone of you should know how to possess his vesssel in sanctification and honour;,1THESSALONIANS 3:8,1THESSALONIANS 3:12,1THESSALONIANS 4:3,1THESSALONIANS 4:4,4,,1Thes5:18
8,"That no man go beyond and defraud his brother in any matter: because that the Lord is the avenger of all such, as we also have forewarned you and testified.",1THESSALONIANS 4:6,1THESSALONIANS 4:7,1THESSALONIANS 4:11,1THESSALONIANS 4:13,1,,1Thes5:19
9,For God hath not called us unto uncleanness; but unto holiness.,1THESSALONIANS 4:6,1THESSALONIANS 4:7,1THESSALONIANS 4:11,1THESSALONIANS 4:13,2,,1Thes5:22
10,"And that ye study to be quiet, and to do your own business, and to work with your own hands, as we commanded you;",1THESSALONIANS 4:6,1THESSALONIANS 4:7,1THESSALONIANS 4:11,1THESSALONIANS 4:13,3,,
11,"But I would not have ye ignorant, brethren, concerning them which are asleep, that ye sorrow not, even as others which have no hope.",1THESSALONIANS 4:6,1THESSALONIANS 4:7,1THESSALONIANS 4:11,1THESSALONIANS 4:13,4,,
12,"For this we say unto you by the word of the Lord, that we which are alive and remain unto the coming of the Lord shall not prevent them which are asleep.",1THESSALONIANS 4:15,1THESSALONIANS 4:16,1THESSALONIANS 4:17,1THESSALONIANS 5:2,1,,
13,"For the Lord himself shall descend from heaven with a shout, with the voice of the archangel, and with the trump of God: and the dead in Christ shall rise first:",1THESSALONIANS 4:15,1THESSALONIANS 4:16,1THESSALONIANS 4:17,1THESSALONIANS 5:2,2,,
14,"Then we which are alive and remain shall be caught up together with them in the clouds, to meet the Lord in the air: and so shall we ever be with the Lord.",1THESSALONIANS 4:15,1THESSALONIANS 4:16,1THESSALONIANS 4:17,1THESSALONIANS 5:2,3,,
15,For yourselves no perfectly that the day of the Lord so cometh as a thief in the night.,1THESSALONIANS 4:15,1THESSALONIANS 4:16,1THESSALONIANS 4:17,1THESSALONIANS 5:2,4,,
16,"Ye are all the children of light, and the children of the day: we are not of the night, nor of darkness.",1THESSALONIANS 5:5,1THESSALONIANS 5:6,1THESSALONIANS 5:8,1THESSALONIANS 5:9,1,,
17,"Therefore let us not sleep, as do others; but let us watch and be sober.",1THESSALONIANS 5:5,1THESSALONIANS 5:6,1THESSALONIANS 5:8,1THESSALONIANS 5:9,2,,
18,"But let us who are of the day be sober, putting on the breastplate of faith and love; and for an helmet, the hope of salvation.",1THESSALONIANS 5:5,1THESSALONIANS 5:6,1THESSALONIANS 5:8,1THESSALONIANS 5:9,3,,
19,"For God hath not appointed us to wrath, but to obtian salvation by our Lord Jesus Christ.",1THESSALONIANS 5:5,1THESSALONIANS 5:6,1THESSALONIANS 5:8,1THESSALONIANS 5:9,4,,
20,Rejoice evermore.,1THESSALONIANS 5:16,1THESSALONIANS 5:17,1THESSALONIANS 5:18,1THESSALONIANS 5:19,1,,
21,Pray without ceasing.,1THESSALONIANS 5:16,1THESSALONIANS 5:17,1THESSALONIANS 5:18,1THESSALONIANS 5:19,2,,
22,In every thing give thanks for this is the will of God in Christ Jesus concerning you.,1THESSALONIANS 5:16,1THESSALONIANS 5:17,1THESSALONIANS 5:18,1THESSALONIANS 5:24,3,,
23,Quench not the Spirit.,1THESSALONIANS 5:16,1THESSALONIANS 5:17,1THESSALONIANS 5:18,1THESSALONIANS 5:19,4,,
24,Despise not prophesyings.,1THESSALONIANS 5:20,1THESSALONIANS 5:21,1THESSALONIANS 5:22,1THESSALONIANS 5:23,1,,
25,Prove all things; hold fast that which is good.,1THESSALONIANS 5:20,1THESSALONIANS 5:21,1THESSALONIANS 5:22,1THESSALONIANS 5:24,2,,
26,Abstain from all appearance of evil.,1THESSALONIANS 5:20,1THESSALONIANS 5:21,1THESSALONIANS 5:22,1THESSALONIANS 5:23,3,,
27,And the very God of peace sanctify you wholly: and I pray God your whole spirit and soul and body be preserved blameless unto the coming of our Lord Jesus Christ.,1THESSALONIANS 5:20,1THESSALONIANS 5:21,1THESSALONIANS 5:22,1THESSALONIANS 5:23,4,,
28,"Faithful is he that calleth you, who also will do it.",1THESSALONIANS 5:20,1THESSALONIANS 5:21,1THESSALONIANS 5:22,1THESSALONIANS 5:24,4,,
