S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,
1,"Now unto the King eternal, immortal, invisible, the only wise God, be honour and glory for ever and ever. Amen.",1TIMOTHY 1:7,1TIMOTHY 1:17,2TIMOTHY 1:7,2TIMOTHY 1:17,2,
2,"I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;",1TIMOTHY 2:1,1TIMOTHY 2:2,1TIMOTHY 2:5,1TIMOTHY 2:8,1,
3,"For kings, and for all that are in authority; that we may lead a quiet and peaceable life in all godliness and honesty.",1TIMOTHY 2:1,1TIMOTHY 2:2,1TIMOTHY 2:5,1TIMOTHY 2:8,2,
4,"For there is one God, and one mediator between God and men, the man Christ Jesus;",1TIMOTHY 2:1,1TIMOTHY 2:2,1TIMOTHY 2:5,1TIMOTHY 2:8,3,
5,"I will therefore that men pray everywhere, lifting up holy hands, without wrath and doubting.",1TIMOTHY 2:1,1TIMOTHY 2:2,1TIMOTHY 2:5,1TIMOTHY 2:8,4,
6,"In like manner also, that women adorn themselves in modest apparel, with shamefacedness and sobriety; not with braided hair, or gold, or pearls, or costly array;",1TIMOTHY 2:1,1TIMOTHY 2:5,1TIMOTHY 2:8,1TIMOTHY 2:9,4,
7,"And without controversy great is the mystery of godliness: God was manifest in the flesh, justified in the Spirit, seen of angels, preached unto the Gentiles, believed on in the world, received up into glory.",1TIMOTHY 2:8,1TIMOTHY 2:9,1TIMOTHY 3:16,2TIMOTHY 3:16,3,
8,"Now the Spirit speaketh expressly, that in the latter times some shall depart from the faith, giving heed to seducing spirits, and doctrines of devils;",1TIMOTHY 4:1,1TIMOTHY 4:8,1TIMOTHY 4:12,1TIMOTHY 6:6,1,
9,"For bodily exercise profiteth little: but godliness is profitable unto all things, having promise of the life that now is, and of that which is to come.",1TIMOTHY 4:1,1TIMOTHY 4:8,1TIMOTHY 4:12,1TIMOTHY 6:6,2,
10,"Let no man despise thy youth; but be thou an example of the believers, in word, in conversation, in charity, in spirit",1TIMOTHY 4:1,1TIMOTHY 4:8,1TIMOTHY 4:12,1TIMOTHY 4:14,3,
11,"Neglect not the gift that is in thee, which was given thee by prophecy, with the laying on of the hands of the presbytery.",1TIMOTHY 4:1,1TIMOTHY 4:8,1TIMOTHY 4:12,1TIMOTHY 4:14,4,
12,"For the scripture saith, Thou shalt not muzzle the ox that treadeth out the corn. And, The labourer is worthy of his reward.",1TIMOTHY 5:18,1TIMOTHY 5:19,1TIMOTHY 5:20,1TIMOTHY 5:21,1,
13,"Them that sin rebuke before all, that others also may fear.",1TIMOTHY 5:18,1TIMOTHY 5:19,1TIMOTHY 5:20,1TIMOTHY 5:21,3,
14,"Lay hands suddenly on no man, neither be partaker of other men's sins: keep thyself pure.",1TIMOTHY 5:18,1TIMOTHY 5:20,1TIMOTHY 5:22,1TIMOTHY 5:23,3,
15,"Drink no longer water, but use a little wine for thy stomach's sake and thine often infirmities.",1TIMOTHY 5:18,1TIMOTHY 5:20,1TIMOTHY 5:22,1TIMOTHY 5:23,4,
16,But godliness with contentment is great gain.,1TIMOTHY 6:6,1TIMOTHY 6:7,1TIMOTHY 6:8,1TIMOTHY 6:9,1,
17,"For we brought nothing into this world, and it is certain we can carry nothing out.",1TIMOTHY 6:6,1TIMOTHY 6:7,1TIMOTHY 6:8,1TIMOTHY 6:9,2,
18,"For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows.",1TIMOTHY 6:6,1TIMOTHY 6:7,1TIMOTHY 6:8,1TIMOTHY 6:10,4,
