S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"For as the sufferings of Christ abound in us, so our consolation also aboundeth by Christ.",2CORINTHIANS 1:5,2CORINTHIANS 1:20,2CORINTHIANS 2:11,2CORINTHIANS 2:14,1
2,"For all the promises of God in him are yea, and in him Amen, unto the glory of God by us.",2CORINTHIANS 1:5,2CORINTHIANS 1:20,2CORINTHIANS 2:11,2CORINTHIANS 2:14,2
3,Lest Satan should get an advantage of us: for we are not ignorant of his devices.,2CORINTHIANS 1:5,2CORINTHIANS 1:20,2CORINTHIANS 2:11,2CORINTHIANS 2:14,3
4,"Now thanks be unto God which always causeth us to triumph in Christ, and maketh manifest the savour of his knowledge by us in every place.",2CORINTHIANS 1:5,2CORINTHIANS 1:20,2CORINTHIANS 2:11,2CORINTHIANS 2:14,4
5,"For we are unto God a sweet savour of Christ, in them that are saved, and in them that perish:",2CORINTHIANS 2:14,2CORINTHIANS 2:15,2CORINTHIANS 2:17,2CORINTHIANS 3:2,2
6,"For we are not as many, which corrupt the word of God: but as of sincerity, but as of God, in the sight of God speak we in Christ.",2CORINTHIANS 2:14,2CORINTHIANS 2:15,2CORINTHIANS 2:17,2CORINTHIANS 3:2,3
7,"Ye are our epistle written in our hearts, known and read of all men:",2CORINTHIANS 2:14,2CORINTHIANS 2:15,2CORINTHIANS 2:17,2CORINTHIANS 3:2,4
8,Not that we are sufficient of ourselves to think any thing as of ourselves; but our sufficiency is of God;,2CORINTHIANS 3:5,2CORINTHIANS 3:6,2CORINTHIANS 3:17,2CORINTHIANS 3:18,1
9,"Who also hath made us able ministers of the new testament; not of the letter, but of the spirit: for the letter killeth, but the spirit giveth life.",2CORINTHIANS 3:5,2CORINTHIANS 3:6,2CORINTHIANS 3:17,2CORINTHIANS 3:18,2
10,"Now the Lord is that Spirit: and where the Spirit of the Lord is, there is liberty.",2CORINTHIANS 3:5,2CORINTHIANS 3:6,2CORINTHIANS 3:17,2CORINTHIANS 3:18,3
11,"But we all, with open face beholding as in a glass the glory of the Lord, are changed into the same image from glory to glory, even as by the Spirit of the Lord.",2CORINTHIANS 3:5,2CORINTHIANS 3:6,2CORINTHIANS 3:17,2CORINTHIANS 3:18,4
12,"Therefore seeing we have this ministry, as we have received mercy, we faint not;",2CORINTHIANS 4:1,2CORINTHIANS 4:4,2CORINTHIANS 4:6,2CORINTHIANS 4:7,1
13,"In whom the god of this world hath blinded the minds of them which believe not, lest the light of the glorious gospel of Christ, who is the image of God should shine unto them.",2CORINTHIANS 4:1,2CORINTHIANS 4:4,2CORINTHIANS 4:6,2CORINTHIANS 4:7,2
14,"For God who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.",2CORINTHIANS 4:1,2CORINTHIANS 4:4,2CORINTHIANS 4:6,2CORINTHIANS 4:7,3
15,"But we have this treasure in earthen vessels, that the excellency of the power may be of God, and not of us.",2CORINTHIANS 4:1,2CORINTHIANS 4:4,2CORINTHIANS 4:6,2CORINTHIANS 4:7,4
16,"We are troubled on every side yet not distressed; we are perplexed, but not in despair;",2CORINTHIANS 4:8,2CORINTHIANS 4:9,2CORINTHIANS 4:10,2CORINTHIANS 4:11,1
17,"Persecuted, but not forsaken; cast down, but not destroyed;",2CORINTHIANS 4:8,2CORINTHIANS 4:9,2CORINTHIANS 4:10,2CORINTHIANS 4:11,2
18,Always bearing about in the body the dying of the Lord Jesus that the life also of Jesus might be made manifest in our body.,2CORINTHIANS 4:8,2CORINTHIANS 4:9,2CORINTHIANS 4:10,2CORINTHIANS 4:11,3
19,"For we which live are alway delivered unto death for Jeus' sake, that the life also of Jesus might be made manifest in our mortal flesh.",2CORINTHIANS 4:8,2CORINTHIANS 4:9,2CORINTHIANS 4:10,2CORINTHIANS 4:11,4
20,"So then death worketh in us, but life in you.",2CORINTHIANS 4:12,2CORINTHIANS 4:14,2CORINTHIANS 4:15,2CORINTHIANS 4:16,1
21,"Knowing that he which raised up the lord Jesus shall raise up us also by Jesus, and shall present us with you.",2CORINTHIANS 4:12,2CORINTHIANS 4:14,2CORINTHIANS 4:15,2CORINTHIANS 4:16,2
22,"For all things are for your sakes, that the abundant grace might through the thanksgiving of many redound to the glory of God.",2CORINTHIANS 4:12,2CORINTHIANS 4:14,2CORINTHIANS 4:15,2CORINTHIANS 4:16,3
23,"For which cause we faint not; but though our outward man perish, yet the inward man is renewed day by day.",2CORINTHIANS 4:12,2CORINTHIANS 4:14,2CORINTHIANS 4:15,2CORINTHIANS 4:16,4
24,"For our light affliction, which is but a moment, worketh for us a far more exceeding and eternal weight of glory;",2CORINTHIANS 4:17,2CORINTHIANS 4:18,2CORINTHIANS 5:1,2CORINTHIANS 5:7,1
25,"While we look not at the things which are seen, but at the things which are not seen: for the things which are seen are temporal; but the things which are not seen are eternal.",2CORINTHIANS 4:17,2CORINTHIANS 4:18,2CORINTHIANS 5:1,2CORINTHIANS 5:7,2
26,"For we know that if our earthly house of this tabernacle were dissolved, we have a building of God, an house not made with hands, eternal in the heavens.",2CORINTHIANS 4:17,2CORINTHIANS 4:18,2CORINTHIANS 5:1,2CORINTHIANS 5:7,3
27,"(For we walk by faith, not by sight:)",2CORINTHIANS 4:17,2CORINTHIANS 4:18,2CORINTHIANS 5:1,2CORINTHIANS 5:7,4
28,"For we must all appear before the judgment seat of Christ, that every one may receive the things done in his body, according to that he hath done, whether it be good or bad.",2CORINTHIANS 5:10,2CORINTHIANS 5:14,2CORINTHIANS 5:15,2CORINTHIANS 5:17,1
29,"For the love of Christ constraineth us; because we thus judge, that if one died for all, then were all dead:",2CORINTHIANS 5:10,2CORINTHIANS 5:14,2CORINTHIANS 5:15,2CORINTHIANS 5:17,2
30,"And that he died for all, that they which live should not henceforth live unto themselves, but unto him which died for them, and rose again.",2CORINTHIANS 5:10,2CORINTHIANS 5:14,2CORINTHIANS 5:15,2CORINTHIANS 5:17,3
31,"Therefore if any man be in Christ, he is a new creature: old things are passed away; behold, all things are become new.",2CORINTHIANS 5:10,2CORINTHIANS 5:14,2CORINTHIANS 5:15,2CORINTHIANS 5:17,4
32,"And all things are of God, who hath reconciled us to himself by Jesus Christ, and hath given to us the ministry of reconciliation;",2CORINTHIANS 5:18,2CORINTHIANS 5:19,2CORINTHIANS 5:20,2CORINTHIANS 5:21,1
33,"To wit, that God was in Christ reconciling the world unto himself, not imputing their trespasses unto them; and hath committed unto us the word of reconciliation.",2CORINTHIANS 5:18,2CORINTHIANS 5:19,2CORINTHIANS 5:20,2CORINTHIANS 5:21,2
34,"Now then we are ambassadors for Christ, as though God did beseech you by us: we pray you in Christ's stead, be ye reconciled to God.",2CORINTHIANS 5:18,2CORINTHIANS 5:19,2CORINTHIANS 5:20,2CORINTHIANS 5:21,3
35,"For he hath made him to be sin for us, who knew no sin; that we might be made the righteousness of God in him.",2CORINTHIANS 5:18,2CORINTHIANS 5:19,2CORINTHIANS 5:20,2CORINTHIANS 5:21,4
36,"(For he saith, I have heard thee in a time accepted, and in the day of salvation have I succoured thee: behold, now is the accepted time; bhold, now is the day of salvation.)",2CORINTHIANS 6:2,2CORINTHIANS 6:14,2CORINTHIANS 6:15,2CORINTHIANS 6:16,1
37,Be ye not unequally yoked together with unbelievers: for what fellowship hath righteousness with unrighteousness? And what communion hath light with darkness?,2CORINTHIANS 6:2,2CORINTHIANS 6:14,2CORINTHIANS 6:15,2CORINTHIANS 6:16,2
38,And what concord hath Christ with Belial? Or what part hath he that believeth with an infidel?,2CORINTHIANS 6:14,2CORINTHIANS 6:15,2CORINTHIANS 6:16,2CORINTHIANS 6:17,2
39,"And what agreement hath the temple of God with idols? For ye are the temple of the living God; as God hath said, I will dwell in them, and walk in them; and I will be their God, and they shall be my people.",2CORINTHIANS 6:14,2CORINTHIANS 6:15,2CORINTHIANS 6:16,2CORINTHIANS 6:17,3
40,"Wherefore come out from among them, and be ye separate, saith the Lord, and touch not the unclean thing; and I will receive you,",2CORINTHIANS 6:14,2CORINTHIANS 6:15,2CORINTHIANS 6:16,2CORINTHIANS 6:17,4
41,"Having therefore these promises, dearly beloved, let us cleanse ourselves from all filthiness of the flesh and spirit, perfecting holiness in the fear of God.",2CORINTHIANS 7:1,2CORINTHIANS 7:6,2CORINTHIANS 7:10,2CORINTHIANS 8:7,1
42,"Nevertheless God, that comforted those that are cast down, comforted us by the coming of Titus;",2CORINTHIANS 7:1,2CORINTHIANS 7:6,2CORINTHIANS 7:10,2CORINTHIANS 8:7,2
43,For godly sorrow worketh repentance to salvation not to be repented of: but the sorrow of the world worketh death.,2CORINTHIANS 7:1,2CORINTHIANS 7:6,2CORINTHIANS 7:10,2CORINTHIANS 8:7,3
44,"Therefore, as ye abound in every thing, in faith, and utterance, and knowledge, and in all diligence, and in your love to us, see that ye abound in this grace also.",2CORINTHIANS 7:1,2CORINTHIANS 7:6,2CORINTHIANS 7:10,2CORINTHIANS 8:7,4
45,"For ye know the grace of our Lord Jesus Christ, that, though he was rich, yet for your sakes he became poor, that ye through his poverty might be rich.",2CORINTHIANS 8:9,2CORINTHIANS 9:6,2CORINTHIANS 9:7,2CORINTHIANS 9:8,1
46,"But  this I say, He which soweth sparingly shall reap also sparingly; and he which soweth bountifully shall reap also bountifully.",2CORINTHIANS 8:9,2CORINTHIANS 9:6,2CORINTHIANS 9:7,2CORINTHIANS 9:8,2
47,"Every man according as he purposeth in his heart, so let him give: not grudgingly, or of necessity: for God loveth a cheerful giver.",2CORINTHIANS 8:9,2CORINTHIANS 9:6,2CORINTHIANS 9:7,2CORINTHIANS 9:8,3
48,"And God is able to make all grace abound toward you; that ye, always having all sufficiency in all things, may abound to every good work:",2CORINTHIANS 8:9,2CORINTHIANS 9:6,2CORINTHIANS 9:7,2CORINTHIANS 9:8,4
49,Thanks be unto God for his unspeakable gift.,2CORINTHIANS 9:15,2CORINTHIANS 10:3,2CORINTHIANS 10:4,2CORINTHIANS 10:5,1
50,"For though we walk in the flesh, we do not war after the flesh:",2CORINTHIANS 9:15,2CORINTHIANS 10:3,2CORINTHIANS 10:4,2CORINTHIANS 10:5,2
51,"(For the weapons of our warfare are not carnal, but mighty through God to the pulling down of strong holds;)",2CORINTHIANS 10:3,2CORINTHIANS 10:4,2CORINTHIANS 10:5,2CORINTHIANS 10:6,2
52,"Casting down imaginations, and every high thing that exalteth itself against the knowledge of God, and bringing into captivity every thought to the obedience of Christ;",2CORINTHIANS 10:3,2CORINTHIANS 10:4,2CORINTHIANS 10:5,2CORINTHIANS 10:6,3
53,"And having in a readiness to revenge all disobedience, when your obedience is fulfilled.",2CORINTHIANS 10:3,2CORINTHIANS 10:4,2CORINTHIANS 10:5,2CORINTHIANS 10:6,4
