S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,
1,"And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge;",2PETER 1:5,2PETER 1:6,2PETER 1:7,2PETER 2:9,1,,
2,And to knowledge temperance; and to temperance patience; and to patience godliness;,2PETER 1:5,2PETER 1:6,2PETER 1:7,2PETER 2:9,2,,
3,And to godliness brotherly kindness; and to brotherly kindness charity.,2PETER 1:5,2PETER 1:6,2PETER 1:7,2PETER 2:9,3,,
4,"Knowing this first, that no prophecy of the scripture is of any private interpretation.",2PETER 1:7,2PETER 1:20,2PETER 2:9,2PETER 2:17,2,,
5,"The Lord knoweth how to deliver the godly out of temptations, and to reserve the unjust unto the day of judgment to be punished:",2PETER 1:7,2PETER 2:9,2PETER 3:9,2PETER 3:18,2,,
6,"For it had been better for them not to have known the way of righteousness, than, after they have known it, to turn from the holy commandment delivered unto them.",2PETER 1:7,2PETER 2:9,2PETER 2:21,2PETER 3:9,3,,
7,"But, beloved, be not ignorant of this one thing, that one day is with the Lord as a thousand years, and a thousand years as one day.",2PETER 3:8,2PETER 3:9,2PETER 3:10,2PETER 3:18,1,,
8,"The Lord is not slack concerning his promise, as some men count slackness; but is longsuffering to us-ward, not willing that any should perish, but that all should come to repentance.",2PETER 3:8,2PETER 3:9,2PETER 3:10,2PETER 3:18,2,,
9,"But the day of the Lord will come as a thief in the night; in the which the heavens shall pass away with a great noise, and the elements shall melt with fervent heat, the earth also and the works that are therein shall be burned up.",2PETER 3:8,2PETER 3:9,2PETER 3:10,2PETER 3:18,3,,
10,"But grow in grace, and in the knowledge of our Lord and Saviour Jesus Christ. To him be glory both now and for ever. Amen.",2PETER 3:8,2PETER 3:9,2PETER 3:10,2PETER 3:18,4,,
,,,,,,,,
