S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,Seeing it is a righteous thing with God to recompense tribulation to them that trouble you;,2THESSALONIANS 1:6,2THESSALONIANS 1:12,2THESSALONIANS 2:3,2THESSALONIANS 2:7,1
2,"That the name of our Lord Jesus Christ may be glorified in you, and ye in him, according to the grace of our God and the Lord Jesus Christ.",2THESSALONIANS 1:6,2THESSALONIANS 1:12,2THESSALONIANS 2:3,2THESSALONIANS 2:7,2
3,"Let no man deceive you by any means: for that day shall not come , except there come a falling away first, and that man of sin be revealed, the son of perdition;",2THESSALONIANS 1:6,2THESSALONIANS 1:12,2THESSALONIANS 2:3,2THESSALONIANS 2:7,3
4,"For the mystery of iniquity doth already work: only he who now letteth will let, until he be taken out of the way.",2THESSALONIANS 1:6,2THESSALONIANS 1:12,2THESSALONIANS 2:3,2THESSALONIANS 2:7,4
5,"And for this cause God shall send them strong delusion, that they should believe a lie:",2THESSALONIANS 1:12,2THESSALONIANS 2:3,2THESSALONIANS 2:7,2THESSALONIANS 2:11,4
6,"Therefore, brethre, stand fast, and hold the traditions which ye have been taught, whether by word, or our epistle",2THESSALONIANS 2:7,2THESSALONIANS 2:11,2THESSALONIANS 2:15,2THESSALONIANS 2:17,3
7,"Comfort your hearts, and stablish you in every good word and work.",2THESSALONIANS 2:7,2THESSALONIANS 2:11,2THESSALONIANS 2:15,2THESSALONIANS 2:17,4
8,"Finally brethren, pray for us that the word of the Lord may have free course, and be glorified, even as it is with you:",2THESSALONIANS 3:1,2THESSALONIANS 3:3,2THESSALONIANS 3:13,2THESSALONIANS 3:16,1
9,"But the Lord is faithful, who shall stablish you, and keep you from evil.",2THESSALONIANS 3:1,2THESSALONIANS 3:3,2THESSALONIANS 3:13,2THESSALONIANS 3:16,2
10,"But ye, brethren, be not weary in well doing.",2THESSALONIANS 3:1,2THESSALONIANS 3:3,2THESSALONIANS 3:13,2THESSALONIANS 3:16,3
11,Now the Lord of peace himself give you peace always by all means. The Lord be with you all.,2THESSALONIANS 3:1,2THESSALONIANS 3:3,2THESSALONIANS 3:13,2THESSALONIANS 3:16,4
