S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,,,
1,"That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;",COLOSSIANS 1:10,COLOSSIANS 1:13,COLOSSIANS 1:14,COLOSSIANS 1:15,1,,,,
2,"Who hath delivered us from the power of darkness, and hath translated us into the kingdom of his dear Son:",COLOSSIANS 1:10,COLOSSIANS 1:13,COLOSSIANS 1:14,COLOSSIANS 1:15,2,,,,Col1:16
3,"In whom we have redemption through his blood, even the forgiveness of sins.",COLOSSIANS 1:10,COLOSSIANS 1:13,COLOSSIANS 1:14,COLOSSIANS 1:15,3,,,,Col2:8
4,"Who is the image of the invisible God, the firstbon of every creature:",COLOSSIANS 1:10,COLOSSIANS 1:13,COLOSSIANS 1:14,COLOSSIANS 1:15,4,,,,Col2:10
5,"For by him were all things created, that are in heaven, and that are in earth, visible and invisible, whether they be thrones, or dominions, or principalities, or powers: all things were created by him, and for him:",COLOSSIANS 1:15,COLOSSIANS 1:16,COLOSSIANS 1:17,COLOSSIANS 1:27,2,,,,Col2:14
6,"And he is before all things, and by him all things consist.",COLOSSIANS 1:15,COLOSSIANS 1:16,COLOSSIANS 1:17,COLOSSIANS 1:27,3,,,,Col2:15
7,"To whom God would make known what is the riches of the glory of this mystery among the Gentiles; which is Christ in you, the hope of glory:",COLOSSIANS 1:15,COLOSSIANS 1:16,COLOSSIANS 1:17,COLOSSIANS 1:27,4,,,,Col3:2
8,"As ye have therefore received Christ Jesus the Lord, so walk ye in him:",COLOSSIANS 2:6,COLOSSIANS 2:8,COLOSSIANS 2:9,COLOSSIANS 2:10,1,,,,Col3:3
9,"Beware lest any man spoil you through philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ.",COLOSSIANS 2:6,COLOSSIANS 2:8,COLOSSIANS 2:9,COLOSSIANS 2:10,2,,,,Col3:14
10,For in him dwelleth all the fulness of the God head bodily..,COLOSSIANS 2:6,COLOSSIANS 2:8,COLOSSIANS 2:9,COLOSSIANS 2:10,3,,,,Col3:16
11,"And ye are complete in him, which is the head of all principality and power:",COLOSSIANS 2:6,COLOSSIANS 2:8,COLOSSIANS 2:9,COLOSSIANS 2:10,4,,,,Col3:17
