S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"Vanity of vanities, saith the Preacher, vanity of vanities; all is vanity.",ECCLESIASTES 1:2,ECCLESIASTES 1:9,ECCLESIASTES 3:1,ECCLESIASTES 3:2,1
2,"The thing that hath been, it is that which shall be; and that which is done is that which shall be done: and there is no new thing under the sun.",ECCLESIASTES 1:2,ECCLESIASTES 1:9,ECCLESIASTES 3:1,ECCLESIASTES 3:2,2
3,"To every thing there is a season, and a time to every purpose under the heaven:",ECCLESIASTES 1:2,ECCLESIASTES 1:9,ECCLESIASTES 3:1,ECCLESIASTES 3:2,3
4,"A time to be born, and a time to die; a time to plant, and a time to pluck up that which is planted;",ECCLESIASTES 1:2,ECCLESIASTES 1:9,ECCLESIASTES 3:1,ECCLESIASTES 3:2,4
5,"A time to kill, and a time to heal; a time to break down, and a time to build up;",ECCLESIASTES 3:3,ECCLESIASTES 3:4,ECCLESIASTES 3:5,ECCLESIASTES 3:6,1
6,"A time to weep, and a time to laugh; a time to mourn, and a time to dance;",ECCLESIASTES 3:3,ECCLESIASTES 3:4,ECCLESIASTES 3:5,ECCLESIASTES 3:6,2
7,"A time to cast away stones, and a time to gather stones together; a time to embrace, and a time to refrain from embracing;",ECCLESIASTES 3:3,ECCLESIASTES 3:4,ECCLESIASTES 3:5,ECCLESIASTES 3:6,3
8,"A time to get, and a time to lose; a time to keep, and a time to cast away;",ECCLESIASTES 3:3,ECCLESIASTES 3:4,ECCLESIASTES 3:5,ECCLESIASTES 3:6,4
9,"A time to rend, and a time to sew; a time to keep silence, and a time to speak;",ECCLESIASTES 3:7,ECCLESIASTES 3:8,ECCLESIASTES 3:11,ECCLESIASTES 3:14,1
10,"A time to love, and a time to hate; a time of war, and a time of peace.",ECCLESIASTES 3:7,ECCLESIASTES 3:8,ECCLESIASTES 3:11,ECCLESIASTES 3:14,2
11,"He hath made every thing beautiful in his time: also he hath set the world in their heart, so that no man can find out the work that God maketh from the beginning to the end.",ECCLESIASTES 3:7,ECCLESIASTES 3:8,ECCLESIASTES 3:11,ECCLESIASTES 3:14,3
12,"I know that, whatsoever God doeth, it shall be for ever: nothing can be put to it, nor any thing taken from it: and God doeth it, that men should fear before him.",ECCLESIASTES 3:7,ECCLESIASTES 3:8,ECCLESIASTES 3:11,ECCLESIASTES 3:14,4
13,That which hath been is now; and that which is to be hath already been; and God requireth that which is past.,ECCLESIASTES 3:15,ECCLESIASTES 4:9,ECCLESIASTES 4:10,ECCLESIASTES 4:13,1
14,Two are better than one; because they have a good reward for their labour.,ECCLESIASTES 3:15,ECCLESIASTES 4:9,ECCLESIASTES 4:10,ECCLESIASTES 4:13,2
15,"For if they fall, the one will lift up his fellow: but woe to him that is alone when he falleth; for he hath not another to help him up.",ECCLESIASTES 3:15,ECCLESIASTES 4:9,ECCLESIASTES 4:10,ECCLESIASTES 4:13,3
16,"Better is a poor and a wise child than an old and foolish king, who will no more be admonished.",ECCLESIASTES 3:15,ECCLESIASTES 4:9,ECCLESIASTES 4:10,ECCLESIASTES 4:13,4
17,"Keep thy foot when thou goest to the house of God, and be more ready to hear, than to give the sacrifice of fools: for they consider not that they do evil.",ECCLESIASTES 5:1,ECCLESIASTES 5:2,ECCLESIASTES 5:4,ECCLESIASTES 5:5,1
18,"Be not rash with thy mouth, and let not thine heart be hasty to utter any thing before God: for God is in heaven, and thou upon earth: therefore let thy words be few.",ECCLESIASTES 5:1,ECCLESIASTES 5:2,ECCLESIASTES 5:4,ECCLESIASTES 5:5,2
19,"When thou vowest a vow unto God, defer not to pay it; for he hath no pleasure in fools: pay that which thou hast vowed.",ECCLESIASTES 5:1,ECCLESIASTES 5:2,ECCLESIASTES 5:4,ECCLESIASTES 5:5,3
20,"Better is it that thou shouldest not vow, than that thou shouldest vow and not pay.",ECCLESIASTES 5:1,ECCLESIASTES 5:2,ECCLESIASTES 5:4,ECCLESIASTES 5:5,4
21,"Suffer not thy mouth to cause thy flesh to sin; neither say thou before the angel, that it was an error: wherefore should God be angry at thy voice, and destroy the work of thine hands?",ECCLESIASTES 5:6,ECCLESIASTES 5:7,ECCLESIASTES 5:8,ECCLESIASTES 5:10,1
22,For in the multitude of dreams and many words there are also divers vanities: but fear thou God.,ECCLESIASTES 5:6,ECCLESIASTES 5:7,ECCLESIASTES 5:8,ECCLESIASTES 5:10,2
23,"If thou seest the oppression of the poor, and violent perverting of judgment and justice in a province, marvel not at the matter: for he that is higher than the highest regardeth; and there be higher than they.",ECCLESIASTES 5:6,ECCLESIASTES 5:7,ECCLESIASTES 5:8,ECCLESIASTES 5:10,3
24,He that loveth silver shall not be satisfied with silver; nor he that loveth abundance with increase: this is also vanity.,ECCLESIASTES 5:6,ECCLESIASTES 5:7,ECCLESIASTES 5:8,ECCLESIASTES 5:10,4
25,"The sleep of a labouring man is sweet, whether he eat little or much: but the abundance of the rich will not suffer him to sleep.",ECCLESIASTES 5:12,ECCLESIASTES 5:15,ECCLESIASTES 5:19,ECCLESIASTES 7:1,1
26,"As he came forth of his mother's womb, naked shall he return to go as he came, and shall take nothing of his labour, which he may carry away in his hand.",ECCLESIASTES 5:12,ECCLESIASTES 5:15,ECCLESIASTES 5:19,ECCLESIASTES 7:1,2
27,"Every man also to whom God hath given riches and wealth, and hath given him power to eat thereof, and to take his portion, and to rejoice in his labour; this is the gift of God.",ECCLESIASTES 5:12,ECCLESIASTES 5:15,ECCLESIASTES 5:19,ECCLESIASTES 7:1,3
28,A good name is better than precious ointment; and the day of death than the day of one's birth.,ECCLESIASTES 5:12,ECCLESIASTES 5:15,ECCLESIASTES 5:19,ECCLESIASTES 7:1,4
29,"It is better to go to the house of mourning, than to go to the house of feasting: for that is the end of all men; and the living will lay it to his heart.",ECCLESIASTES 7:2,ECCLESIASTES 7:3,ECCLESIASTES 7:5,ECCLESIASTES 7:7,1
30,Sorrow is better than laughter: for by the sadness of the countenance the heart is made better.,ECCLESIASTES 7:2,ECCLESIASTES 7:3,ECCLESIASTES 7:5,ECCLESIASTES 7:7,2
31,"It is better to hear the rebuke of the wise, than for a man to hear the song of fools.",ECCLESIASTES 7:2,ECCLESIASTES 7:3,ECCLESIASTES 7:5,ECCLESIASTES 7:7,3
32,Surely oppression maketh a wise man mad; and a gift destroyeth the heart.,ECCLESIASTES 7:2,ECCLESIASTES 7:3,ECCLESIASTES 7:5,ECCLESIASTES 7:7,4
33,Better is the end of a thing than the beginning thereof: and the patient in spirit is better than the proud in spirit.,ECCLESIASTES 7:8,ECCLESIASTES 7:9,ECCLESIASTES 7:12,ECCLESIASTES 7:13,1
34,Be not hasty in thy spirit to be angry: for anger resteth in the bosom of fools.,ECCLESIASTES 7:8,ECCLESIASTES 7:9,ECCLESIASTES 7:12,ECCLESIASTES 7:13,2
