S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly places in Christ:",EPHESIANS 1:3,EPHESIANS 1:7,EPHESIANS 1:17,EPHESIANS 1:18,1
2,"In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;",EPHESIANS 1:3,EPHESIANS 1:7,EPHESIANS 1:17,EPHESIANS 1:18,2
3,"That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:",EPHESIANS 1:3,EPHESIANS 1:7,EPHESIANS 1:17,EPHESIANS 1:18,3
4,"The eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints,",EPHESIANS 1:3,EPHESIANS 1:7,EPHESIANS 1:17,EPHESIANS 1:18,4
5,"And what is the exceeding greatness of his power to usward who believe, according to the working of his mighty power,",EPHESIANS 1:19,EPHESIANS 1:20,EPHESIANS 1:21,EPHESIANS 1:22,1
6,"Which he wrought in Christ, when he raised him from the dead, and set him at his own right hand in the heavenly places,",EPHESIANS 1:19,EPHESIANS 1:20,EPHESIANS 1:21,EPHESIANS 1:22,2
7,"Far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come:",EPHESIANS 1:19,EPHESIANS 1:20,EPHESIANS 1:21,EPHESIANS 1:22,3
8,"And hath put all things under his feet, and gave him to be the head over all things to the church,",EPHESIANS 1:19,EPHESIANS 1:20,EPHESIANS 1:21,EPHESIANS 1:22,4
9,For by grace are ye saved through faith; and that not of yourselves: it is the gift of God:,EPHESIANS 2:8,EPHESIANS 2:9,EPHESIANS 2:10,EPHESIANS 2:13,1
10,"Not of works, lest any man should boast.",EPHESIANS 2:8,EPHESIANS 2:9,EPHESIANS 2:10,EPHESIANS 2:13,2
11,"For we are his workmanship, created in Christ Jesus unto good works, which god hath before ordained that we should walk in them.",EPHESIANS 2:8,EPHESIANS 2:9,EPHESIANS 2:10,EPHESIANS 2:13,3
12,But now in Christ Jesus ye who sometimes were far off are made nigh by the blood of Christ.,EPHESIANS 2:8,EPHESIANS 2:9,EPHESIANS 2:10,EPHESIANS 2:13,4
13,"For he is our peace, who hath made both one, and hath broken down the middle wall of partition between us;",EPHESIANS 2:14,EPHESIANS 2:15,EPHESIANS 2:16,EPHESIANS 2:18,1
14,"Having abolished in his flesh the enmity, even the law of commandments contained in ordinances; for to make in himself of twain one new man, so making peace;",EPHESIANS 2:14,EPHESIANS 2:15,EPHESIANS 2:16,EPHESIANS 2:18,2
15,"And that he might reconcile both unto God in one body by the cross, having slain the enmity thereby",EPHESIANS 2:14,EPHESIANS 2:15,EPHESIANS 2:16,EPHESIANS 2:18,3
16,For through him we both have access by one Spirit unto the Father.,EPHESIANS 2:14,EPHESIANS 2:15,EPHESIANS 2:16,EPHESIANS 2:18,4
17,"And are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone;",EPHESIANS 2:20,EPHESIANS 3:10,EPHESIANS 3:12,EPHESIANS 3:19,1
18,"To the intent that now unto the principalities and powers in heavenly places might be known by the church the manifold wisdom of God,",EPHESIANS 2:20,EPHESIANS 3:10,EPHESIANS 3:12,EPHESIANS 3:19,2
19,In whim we have boldness and access with confidence by the faith of him.,EPHESIANS 2:20,EPHESIANS 3:10,EPHESIANS 3:12,EPHESIANS 3:19,3
20,"And to know the love of Christ, which passeth knowledge, that ye might be filled with all the fulness of God.",EPHESIANS 2:20,EPHESIANS 3:10,EPHESIANS 3:12,EPHESIANS 3:19,4
21,"Now unto him that is able to do exceeding abundantly above all that we ask or think, according to the power that worketh in us,",EPHESIANS 3:10,EPHESIANS 3:12,EPHESIANS 3:19,EPHESIANS 3:20,4
22,"There is one body, and one Spirit even as ye are called in one hope of your calling;",EPHESIANS 4:4,EPHESIANS 4:5,EPHESIANS 4:6,EPHESIANS 4:7,1
23,"One Lord, one faith, one baptism,",EPHESIANS 4:4,EPHESIANS 4:5,EPHESIANS 4:6,EPHESIANS 4:7,2
24,"One God and Father of all, who is above all, and through all, and in you all.",EPHESIANS 4:4,EPHESIANS 4:5,EPHESIANS 4:6,EPHESIANS 4:7,3
25,But unto every one of us is given grace according to the measure of the gift of Christ.,EPHESIANS 4:4,EPHESIANS 4:5,EPHESIANS 4:6,EPHESIANS 4:7,4
26,"Wherefore he saith, When he ascended up on high, he led captivity captive, and gave gifts unto men.",EPHESIANS 4:8,EPHESIANS 4:10,EPHESIANS 4:11,EPHESIANS 4:12,1
27,"He that descended is the same also that ascended up far above all heavens, that he might fill all things.)",EPHESIANS 4:8,EPHESIANS 4:10,EPHESIANS 4:11,EPHESIANS 4:12,2
28,"And he gave some, apostles; and some, prophets; and some, evangelists; and some, pastors and teachers;",EPHESIANS 4:8,EPHESIANS 4:10,EPHESIANS 4:11,EPHESIANS 4:12,3
29,"For the perfecting of the saints, for the work of the ministry, for the difying of the body of Christ:",EPHESIANS 4:8,EPHESIANS 4:10,EPHESIANS 4:11,EPHESIANS 4:12,4
30,"Till we all come in the unity of the faith, and of the knowledge of the Son of God, unto a perfect man, unto a perfect man, unto the measure of the stature of the fulness of Christ:",EPHESIANS 4:13,EPHESIANS 4:14,EPHESIANS 4:17,EPHESIANS 4:18,1
31,"That we henceforth be no more children, tossed to and fro, and carried about with every wind of doctrine, by the sleight of men, and cunning craftiness, whereby they lie in wait to deceive;",EPHESIANS 4:13,EPHESIANS 4:14,EPHESIANS 4:17,EPHESIANS 4:18,2
32,"This I say therefore, and testify in the Lord, that ye henceforth walk not as other Gentiles walk, in the vanity of their mind,",EPHESIANS 4:13,EPHESIANS 4:14,EPHESIANS 4:17,EPHESIANS 4:18,3
33,"Having the understanding darkened, being alienated from the life of God through the ignorance that is in them, beacuse of the blindness of their heart:",EPHESIANS 4:13,EPHESIANS 4:14,EPHESIANS 4:17,EPHESIANS 4:18,4
34,"Who being past feeling have given themselves over unto lasciviousness, to work all uncleanness with greediness.",EPHESIANS 4:19,EPHESIANS 4:22,EPHESIANS 4:23,EPHESIANS 4:24,1
35,"That ye put off concerning the former conversation the old man, which is corrupt according to the deceitful lusts;",EPHESIANS 4:19,EPHESIANS 4:22,EPHESIANS 4:23,EPHESIANS 4:24,2
36,And be renewed in the spirit of your mind;,EPHESIANS 4:19,EPHESIANS 4:22,EPHESIANS 4:23,EPHESIANS 4:24,3
37,"And that ye put on the new man, which after God is created in righteousness and true holiness.",EPHESIANS 4:19,EPHESIANS 4:22,EPHESIANS 4:23,EPHESIANS 4:24,4
38,"Wherefore putting away lying, speak every man truth with his neighbour: for we are members one aof another.",EPHESIANS 4:25,EPHESIANS 4:26,EPHESIANS 4:27,EPHESIANS 4:28,1
39,"Be ye angry, and sin not: let not the sun go down upon your wrath:",EPHESIANS 4:25,EPHESIANS 4:26,EPHESIANS 4:27,EPHESIANS 4:28,2
40,Neither give place to the devil.,EPHESIANS 4:25,EPHESIANS 4:26,EPHESIANS 4:27,EPHESIANS 4:28,3
41,"Let him that stole steal no more: but rather let him labour, working with his hands the things which is good, that he may have to give to him that needeth.",EPHESIANS 4:25,EPHESIANS 4:26,EPHESIANS 4:27,EPHESIANS 4:28,4
42,"Let no corrupt communication proceed out of your mouth, but that which is good to the use of edifying, that it may minister grace unto the hearers.",EPHESIANS 4:29,EPHESIANS 4:30,EPHESIANS 4:31,EPHESIANS 4:32,1
43,"And grieve not the holy Spirit of God, whereby ye are sealed unto the day of redemption.",EPHESIANS 4:29,EPHESIANS 4:30,EPHESIANS 4:31,EPHESIANS 4:32,2
44,"Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice:",EPHESIANS 4:29,EPHESIANS 4:30,EPHESIANS 4:31,EPHESIANS 4:32,3
