S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,
1,"But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed.",GALATIANS 1:8,GALATIANS 1:10,GALATIANS 1:24,GALATIANS 2:16,1,
2,"For do I now persuade men, or God? Or do I seek to please men? For if I yet pleased men, I should not be the servant of Christ.",GALATIANS 1:8,GALATIANS 1:10,GALATIANS 1:24,GALATIANS 2:16,2,
3,And they glorified God in me.,GALATIANS 1:8,GALATIANS 1:10,GALATIANS 1:24,GALATIANS 2:16,3,
4,"Knowing that a man is not justified by the works of the law, but by the faith of Jesus Christ, even we have believed in Jesus Christ, that we might be justified by the faith of Christ, and not by the works of the law: for by the works of the law shall no flesh be justified.",GALATIANS 1:8,GALATIANS 1:10,GALATIANS 1:24,GALATIANS 2:16,4,
5,"For if I build again the things which I destroyed, I make myself a transgressor.",GALATIANS 2:16,GALATIANS 2:18,GALATIANS 2:20,GALATIANS 2:21,2,
6,"I am crucified with Christ: nevertheless I live; yet not I, but Christ liveth in me: and the life which I now live in the flesh I live by the faith of the Son of God, who loved me, and gave himself for me.",GALATIANS 2:16,GALATIANS 2:18,GALATIANS 2:20,GALATIANS 2:21,3,
7,"I do not frustrate the grace of God: for if righteousness come by the law, then Christ is dead in vain.",GALATIANS 2:16,GALATIANS 2:18,GALATIANS 2:20,GALATIANS 2:21,4,
8,"Even as Abraham believed God, and it was accounted to him for righteousness.",GALATIANS 2:18,GALATIANS 2:20,GALATIANS 2:21,GALATIANS 3:6,4,
9,"For as many as are of the works of the law are under the curse: for it is written, Cursed is every one that continueth not in all things which are written in the book of the law to do them.",GALATIANS 3:10,GALATIANS 3:11,GALATIANS 3:13,GALATIANS 3:14,1,
10,"But that no man is justified by the law in the sight of God, it is evident: for, The just shall live by faith.",GALATIANS 3:10,GALATIANS 3:11,GALATIANS 3:13,GALATIANS 3:14,2,
11,"Christ hath redeemed us from the curse of the law, being made a curse for us: for it is written, Cursed is every one that hangeth on a tree:",GALATIANS 3:10,GALATIANS 3:11,GALATIANS 3:13,GALATIANS 3:14,3,
12,That the blessing of Abraham might come on the Gentiles through Jesus Christ; that we might receive the promise of the Spirit through faith.,GALATIANS 3:10,GALATIANS 3:11,GALATIANS 3:13,GALATIANS 3:14,4,
13,"But the scripture hath concluded all under sin, that the promise by faith of Jesus Christ might be given to them that believe.",GALATIANS 3:22,GALATIANS 3:24,GALATIANS 3:26,GALATIANS 3:29,1,
14,"Wherefore the law was our schoolmaster to bring us unto Christ, that we might be justified by faith.",GALATIANS 3:22,GALATIANS 3:24,GALATIANS 3:26,GALATIANS 3:29,2,
15,For ye are all the children of God by faith in Christ Jesus.,GALATIANS 3:22,GALATIANS 3:24,GALATIANS 3:26,GALATIANS 3:29,3,
16,"And if ye be Christ's, then are ye Abraham's seed, and heirs according to the promise.",GALATIANS 3:22,GALATIANS 3:24,GALATIANS 3:26,GALATIANS 3:29,4,
17,"Now I say, That the heir, as long as he is a child differeth nothing from a servant, though he be lord of all;",GALATIANS 4:1,GALATIANS 4:2,GALATIANS 4:12,GALATIANS 4:19,1,
18,But is under tutors and governors until the time appointed of the father.,GALATIANS 4:1,GALATIANS 4:2,GALATIANS 4:12,GALATIANS 4:19,2,
