S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,In the beginning God created the heaven and the earth.,GENESIS 1:1,JOHN 1:1,1JOHN 1:1,GENESIS 3:1,1
2,"And God said, Let there be light: and there was light.",GENESIS 1:2,GENESIS 1:3,GENESIS 1:4,GENESIS 1:5,2
3,"And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.",GENESIS 1:23,GENESIS 1:25,GENESIS 1:26,GENESIS 1:27,3
4,"And God blessed them, and God said unto them, Be fruitful and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.",GENESIS 1:24,GENESIS 1:26,GENESIS 1:28,GENESIS 1:30,3
5,"And the Lord God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.",GENESIS 2:5,GENESIS 2:6,GENESIS 2:7,GENESIS 2:8,3
6,"And the Lord God said, It is not good that the man should be alone; I will make him an help meet for him.",GENESIS 2:17,GENESIS 2:18,GENESIS 2:19,GENESIS 2:20,2
7,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.",GENESIS 2:18,GENESIS 2:21,GENESIS 2:22,GENESIS 2:24,4
8,"And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.",GENESIS 3:15,GENESIS 3:16,GENESIS 3:17,GENESIS 3:18,1
9,And Enoch walked with God: and he was not for God took him.,GENESIS 5:22,GENESIS 5:23,GENESIS 5:24,GENESIS 5:25,3
10,"And the Lord said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years.",GENESIS 6:2,GENESIS 6:3,GENESIS 6:4,GENESIS 6:5,2
11,"While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease.",GENESIS 7:21,GENESIS 7:22,GENESIS 8:21,GENESIS 8:22,4
12,"And I will make of thee a great nation, and I will bless thee, and make thy name great; and thou shalt be a blessing:",GENESIS 12:2,GENESIS 12:3,GENESIS 12:4,GENESIS 12:5,1
13,"And I will bless them that bless thee, and curse him that curseth thee: and in thee shall all families of the earth be blessed.",GENESIS 12:2,GENESIS 12:3,GENESIS 12:4,GENESIS 12:5,2
14,"And the earth was without form and void, and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.",Genesis 1:2,,,,
15,"And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.",Genesis 1:31,,,,
16,"And he believed in the Lord, and he counted it to him for righteousness.",Genesis 15:6,,,,
17,"And Adam said, This is now bone of my bones, and flesh of my flesh. She shall be called Woman, because she was taken out of man.",Gen 2:23,,,,
