S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"And again, when he bringeth in the firstbegotten into the world, he saith, And let all the angels of God worship him.",HEBREWS 1:6,HEBREWS 1:7,HEBREWS 1:9,HEBREWS 2:6,1
2,"And of the angels he saith, Who maketh his angles spirits, and his ministers a flame of fire.",HEBREWS 1:6,HEBREWS 1:7,HEBREWS 1:9,HEBREWS 2:6,2
3,"Thou hast loved righteousness, and hated iniquity; therefore God, even thy God, hath anointed thee with the oil of gladness above thy fellows.",HEBREWS 1:6,HEBREWS 1:7,HEBREWS 1:9,HEBREWS 2:6,3
4,"But one in a certain place testified, saying, What is man, that thou art mindful of him? Or the son of man that thou visites him?",HEBREWS 1:6,HEBREWS 1:7,HEBREWS 1:9,HEBREWS 2:6,4
5,"For it became him, for whom all things, and by whom are all things, in bringing many sons unto glory, to make the captain of their salvation perfect through sufferings.",HEBREWS 2:10,HEBREWS 2:14,HEBREWS 2:18,HEBREWS 3:4,1
6,"Forasmuch then as the children are partakers of flesh and blood he also himself likewise took part of the same; that through death he might destroy him that had the power of death, that is, the devil;",HEBREWS 2:10,HEBREWS 2:14,HEBREWS 2:18,HEBREWS 3:4,2
7,"For in that he himself hath suffered being tempted, he is able to succour them that are tempted.",HEBREWS 2:10,HEBREWS 2:14,HEBREWS 2:18,HEBREWS 3:4,3
8,For every house is builded by some man; but he that built all things is God.,HEBREWS 2:10,HEBREWS 2:14,HEBREWS 2:18,HEBREWS 3:4,4
9,"Take heed, brethren, lest there be in any of you an evil heart of unbelief, in departing from the living God.",HEBREWS 3:12,HEBREWS 3:14,HEBREWS 3:19,HEBREWS 4:1,1
10,"For we are made partakers of Christ, if we hold the beginning of our confidence stedfast unto the end;",HEBREWS 3:12,HEBREWS 3:14,HEBREWS 3:19,HEBREWS 4:1,2
11,So we see that they could not enter in beacuse of unbelief.,HEBREWS 3:12,HEBREWS 3:14,HEBREWS 3:19,HEBREWS 4:1,3
12,"Let us therefore fear, lest, a promise being left us of entering into his rest, any of you should seem to come short of it.",HEBREWS 3:12,HEBREWS 3:14,HEBREWS 3:19,HEBREWS 4:1,4
13,"For unto us was the gospel preached, as well as unto them: but the word preached did not profit them, not being mixed with faith in them that heard it.",HEBREWS 4:1,HEBREWS 4:2,HEBREWS 4:11,HEBREWS 4:12,2
14,"Let us labour therefore to enter into that rest, lest any man fall after the same example of unbelief.",HEBREWS 4:1,HEBREWS 4:2,HEBREWS 4:11,HEBREWS 4:12,3
15,"For the word of God is quick, and powerful, and sharper than any twoedged sword, piercing even to the dividing asunder of soul and spirit, and of the joints and marrow, and is a discerner of the thoughts and intents of the heart.",HEBREWS 4:1,HEBREWS 4:2,HEBREWS 4:11,HEBREWS 4:12,4
16,"Seeing then that we have a great high priest, that is passed into the heavens, Jesus the Son of God, let us hold fast our profession.",HEBREWS 4:12,HEBREWS 4:14,HEBREWS 4:15,HEBREWS 4:16,2
17,"For we have not an high priest which cannot be touched with the feeling of our infirmities; but was in all points tempted like as we are, yet without sin.",HEBREWS 4:12,HEBREWS 4:14,HEBREWS 4:15,HEBREWS 4:16,3
18,"Let us therefore come boldly unto the throne of grace, that we may obtain mercy, and find grace to help in time of need.",HEBREWS 4:12,HEBREWS 4:14,HEBREWS 4:15,HEBREWS 4:16,4
19,"Though he were a Son, yet learned he obedience by the things which he suffered;",HEBREWS 5:8,HEBREWS 5:9,HEBREWS 5:10,HEBREWS 5:12,1
20,"And being made perfect, he became the author of eternal salvation unto all them that obey him;",HEBREWS 5:8,HEBREWS 5:9,HEBREWS 5:10,HEBREWS 5:12,2
21,Called of God an high priest after the order of Melchisedec.,HEBREWS 5:8,HEBREWS 5:9,HEBREWS 5:10,HEBREWS 5:12,3
22,"For when for the time ye ought to be teachers, ye have need that one teach you again which be the first principles of the oracles of God; and are become such as have need of milk, and not of strong meat.",HEBREWS 5:8,HEBREWS 5:9,HEBREWS 5:10,HEBREWS 5:12,4
23,For every one that useth milk is unskilful in the word of righteousness: for he is a babe.,HEBREWS 5:13,HEBREWS 5:14,HEBREWS 6:1,HEBREWS 6:4,1
24,"But strong meat belongeth to them that are of full age, even those who by reason of use have their senses exercised to discern both good and evil.",HEBREWS 5:13,HEBREWS 5:14,HEBREWS 6:1,HEBREWS 6:4,2
