S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,,,,,
1,"Come now, and let us reason together, saith the LORD: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.",ISAIAH 1:18,ISAIAH 1:19,ISAIAH 1:20,ISAIAH 3:10,1,,,,,,
2,"If ye be willing and obedient, ye shall eat the good of the land:",ISAIAH 1:18,ISAIAH 1:19,ISAIAH 1:20,ISAIAH 3:10,2,,,,,,
3,"But if ye refuse and rebel, ye shall be devoured with the sword: for the mouth of the LORD hath spoken it.",ISAIAH 1:18,ISAIAH 1:19,ISAIAH 1:20,ISAIAH 3:10,3,,,,,,
4,"Say ye to the righteous, that it shall be well with him: for they shall eat the fruit of their doings.",ISAIAH 1:18,ISAIAH 1:19,ISAIAH 1:20,ISAIAH 3:10,4,,,,,,
5,Woe unto the wicked! it shall be ill with him: for the reward of his hands shall be given him.,ISAIAH 3:11,ISAIAH 3:16,ISAIAH 3:18,ISAIAH 5:11,1,,,Isa1:18-19,,,
6,"Moreover the LORD saith, Because the daughters of Zion are haughty, and walk with stretched forth necks and wanton eyes, walking and mincing as they go, and making a tinkling with their feet:",ISAIAH 3:11,ISAIAH 3:16,ISAIAH 3:18,ISAIAH 5:11,2,,,Isa8:10,,,
7,"In that day the Lord will take away the bravery of their tinkling ornaments about their feet, and their cauls, and their round tires like the moon,",ISAIAH 3:11,ISAIAH 3:16,ISAIAH 3:18,ISAIAH 5:11,3,,,Isa8:9,,,
8,"Woe unto them that rise up early in the morning, that they may follow strong drink; that continue until night, till wine inflame them!",ISAIAH 3:11,ISAIAH 3:16,ISAIAH 3:18,ISAIAH 5:11,4,,,Isa9:6-7,,,
9,"Therefore hell hath enlarged herself, and opened her mouth without measure: and their glory, and their multitude, and their pomp, and he that rejoiceth, shall descend into it.",ISAIAH 5:14,ISAIAH 5:18,ISAIAH 5:20,ISAIAH 5:21,1,,,Isa14:5,,,
10,"Woe unto them that draw iniquity with cords of vanity, and sin as it were with a cart rope:",ISAIAH 5:14,ISAIAH 5:18,ISAIAH 5:20,ISAIAH 5:21,2,,,Isa14:27,,,
11,"Woe unto them that call evil good, and good evil; that put darkness for light, and light for darkness; that put bitter for sweet, and sweet for bitter!",ISAIAH 5:14,ISAIAH 5:18,ISAIAH 5:20,ISAIAH 5:21,3,,,Isa25:1,,,
12,"Woe unto them that are wise in their own eyes, and prudent in their own sight!",ISAIAH 5:14,ISAIAH 5:18,ISAIAH 5:20,ISAIAH 5:21,4,,,Isa25:8,,,
13,"Woe unto them that are mighty to drink wine, and men of strength to mingle strong drink:",ISAIAH 5:22,ISAIAH 5:23,ISAIAH 6:1,ISAIAH 6:8,1,,,Isa28:16,,,
14,"Which justify the wicked for reward, and take away the righteousness of the righteous from him!",ISAIAH 5:22,ISAIAH 5:23,ISAIAH 6:1,ISAIAH 6:8,2,,,Isa35:8,,,
15,"In the year that king Uzziah died I saw also the LORD sitting upon a throne, high and lifted up, and his train filled the temple.",ISAIAH 5:22,ISAIAH 5:23,ISAIAH 6:1,ISAIAH 6:8,3,,,Isa35:9,,,
16,"Also I heard the voice of the Lord, saying, Whom shall I send, and who will go for us? Then said I, Here am I; send me.",ISAIAH 5:22,ISAIAH 5:23,ISAIAH 6:1,ISAIAH 6:8,4,,,Isa40:28,,,
17,"Thus saith the Lord GOD, It shall not stand, neither shall it come to pass.",ISAIAH 7:7,ISAIAH 7:14,ISAIAH 8:9,ISAIAH 8:10,1,,,Isa40:29,,,
18,"Therefore the Lord himself shall give you a sign; Behold, a virgin shall conceive, and bear a son, and shall call his name Immanuel.",ISAIAH 7:7,ISAIAH 7:14,ISAIAH 8:9,ISAIAH 8:10,2,,,Isa40:30,,,
19,"Associate yourselves, O ye people, and ye shall be broken in pieces; and give ear, all ye of far countries: gird yourselves, and ye shall be broken in pieces; gird yourselves, and ye shall be broken in pieces.",ISAIAH 7:7,ISAIAH 7:14,ISAIAH 8:9,ISAIAH 8:10,3,,,Isa40:31,,,
20,"Take counsel together, and it shall come to nought; speak the word, and it shall not stand: for God is with us.",ISAIAH 7:7,ISAIAH 7:14,ISAIAH 8:9,ISAIAH 8:10,4,,,Isa41:11,,,
21,"Sanctify the LORD of hosts himself; and let him be your fear, and let him be your dread.",ISAIAH 8:13,ISAIAH 8:18,ISAIAH 9:6,ISAIAH 9:7,1,,,Isa41:12,,,
22,"Behold, I and the children whom the LORD hath given me are for signs and for wonders in Israel from the LORD of hosts, which dwelleth in mount Zion.",ISAIAH 8:13,ISAIAH 8:18,ISAIAH 9:6,ISAIAH 9:7,2,,,Isa41:13,,,
23,"For unto us a child is born, unto us a son is given: and the government shall be upon his shoulder: and his name shall be called Wonderful, Counsellor, The mighty God, The everlasting Father, The Prince of Peace.",ISAIAH 8:13,ISAIAH 8:18,ISAIAH 9:6,ISAIAH 9:7,3,,,Isa43:18-19,,,
24,"Of the increase of his government and peace there shall be no end, upon the throne of David, and upon his kingdom, to order it, and to establish it with judgment and with justice from henceforth even for ever. The zeal of the LORD of hosts will perform this.",ISAIAH 8:13,ISAIAH 8:18,ISAIAH 9:6,ISAIAH 9:7,4,,,Isa43:2,,,
25,"The Lord sent a word into Jacob, and it hath lighted upon Israel.",ISAIAH 9:8,ISAIAH 11:2,ISAIAH 12:2,ISAIAH 12:3,1,,,Isa44:3,,,
