S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"He disappointeth the devices of the crafty, so that their hands cannot perform their enterprise.",JOB 5:12,JOB 5:17,JOB 5:18,JOB 5:19,1
2,"Behold, happy is the man whom God correcteth: therefore despise not thou the chastening of the Almighty.",JOB 5:12,JOB 5:17,JOB 5:18,JOB 5:19,2
3,"He shall deliver thee in six troubles: yea, in seven there shall no evil touch thee.",JOB 5:12,JOB 5:17,JOB 5:18,JOB 5:19,4
4,Is there not an apointed time to man upon earth? Are not his days also like the days of an hireling?,JOB 7:1,JOB 8:7,JOB 14:1,JOB 22:28,1
5,"Though thy beginning was small, yet thy latter end should greatly increase.",JOB 7:1,JOB 8:7,JOB 14:1,JOB 22:28,2
6,"Man that is born of a woman is of few days, and full of trouble.",JOB 7:1,JOB 8:7,JOB 14:1,JOB 22:28,3
7,"If a man die, shall he live again? all the days of my appointed time will I wait, till my change come.",JOB 8:7,JOB 14:1,JOB 14:14,JOB 19:25,3
8,"For I know that my redeemer liveth, and that he shall stand at the latter day upon the earth:",JOB 8:7,JOB 14:1,JOB 14:14,JOB 19:25,4
9,"Thou shalt also decree a thing, and it shall be established unto thee: and the light shall shine upon thy ways.",JOB 8:7,JOB 14:1,JOB 19:25,JOB 22:28,4
10,"When men are cast down, then thou shalt say, There is lifting up; and he shall save the humble person.",JOB 19:25,JOB 22:28,JOB 22:29,JOB 33:4,3
11,But there is a spirit in man: and the inspiration of the Almighty giveth them understanding.,JOB 32:8,JOB 33:4,JOB 33:14,JOB 42:5,1
12,"The spirit of God hath made me, and the breath of the Almighty hath given me life.",JOB 19:25,JOB 22:28,JOB 22:29,JOB 33:4,4
13,"For God speaketh once, yea twice, yet man perceiveth it not.",JOB 33:4,JOB 33:14,JOB 33:15,JOB 33:20,2
14,I have heard of thee by the hearing of the ear: but now mine eye seeth thee.,JOB 19:25,JOB 22:29,JOB 33:4,JOB 42:5,4
