S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,
1,For with God nothing shall be impossible.,LUKE 1:35,LUKE 1:36,LUKE 1:37,LUKE 1:38,3,,
2,"And Jesus increased in wisdom and stature, and in favour with God and man.",LUKE 1:37,LUKE 2:37,LUKE 1:52,LUKE 2:52,4,,
3,"The Spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor; he hath sent me to heal the brokenhearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised.",LUKE 1:37,LUKE 2:52,LUKE 4:18,LUKE 5:20,3,,
4,"Be ye therefore merciful, as your Father also is merciful.",LUKE 3:36,LUKE 6:36,LUKE 6:37,LUKE 6:38,2,,
5,"Judge not, and ye shall not be judged: condemn not, and ye shall not be condemned: forgive, and ye shall be forgiven:",LUKE 3:36,LUKE 6:36,LUKE 6:37,LUKE 6:38,3,,
6,"Give and it shall be given unto you; good measure, pressed down, and shaken together, and running over, shall men give into your bossom. For with the same measure that ye mete withal it shall be measured to you again.",LUKE 3:36,LUKE 6:36,LUKE 6:37,LUKE 6:38,4,,
7,"And Jesus said unto him, No man, having put his hand to the plough, and looking back, is fit for the kingdom of God.",LUKE 6:38,LUKE 9:62,LUKE 10:19,LUKE 21:15,2,,
8,"Behold, I give unto you power to tread on serpents and scorpions, and over all the power of the enemy: and nothing shall by any means hurt you.",LUKE 6:38,LUKE 9:62,LUKE 10:19,LUKE 21:15,3,,
9,"And whosoever shall speak a word against the Son of man, it shall be forgiven him: but unto him that blasphemeth against the Holy Ghosy it shall not be forgiven.",LUKE 9:62,LUKE 10:19,LUKE 12:10,LUKE 21:15,3,,
10,"Likewise, I say unto you, there is joy in the presence of the angels of God over one sinner that repenteth.",LUKE 10:19,LUKE 15:10,LUKE 16:8,LUKE 18:1,2,,Lk15:10
11,"And the Lord commended the unjust steward, because he had done wisely: for the children of this world are in their generation wiser than the children of light.",LUKE 10:19,LUKE 15:10,LUKE 16:8,LUKE 18:1,3,,Lk16:8
12,"And he spake a parable unto them to this end, that men ought always to pray, and not to faint;",LUKE 10:19,LUKE 15:10,LUKE 16:8,LUKE 18:1,4,,Lk18:1
13,And it shall turn to you for a testimony.,LUKE 18:1,LUKE 21:13,LUKE 21:14,LUKE 21:15,2,,Lk21:13
14,"For I will give you a mouth and a wisdom, which all your adversaries shall not be able to gainsay nor resist.",LUKE 18:1,LUKE 21:13,LUKE 21:14,LUKE 21:15,4,,Lk21:15
15,In your patience possess ye your souls.,LUKE 21:13,LUKE 21:14,LUKE 21:15,LUKE 21:19,4,,Lk21:19
,,,,,,,,
