S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"And she shall bring forth a son, and thou shalt call his name JESUS: for he shall save his people from their sins.",MATTHEW 1:21,MATTHEW 1:23,MATTHEW 3:8,MATTHEW 3:10,1
2,"Behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with us.",MATTHEW 1:21,MATTHEW 1:23,MATTHEW 3:8,MATTHEW 3:10,2
3,Bring forth therefore fruits meet for repentance:,MATTHEW 1:21,MATTHEW 1:23,MATTHEW 3:8,MATTHEW 3:10,3
4,"And now also the axe is laid unto the root of the trees: therefore every tree which bringeth not forth good fruit is hewn down, and cast into the fire.",MATTHEW 1:21,MATTHEW 1:23,MATTHEW 3:8,MATTHEW 3:10,4
5,"I indeed baptize you with water unto repentance. but he that cometh after me is mightier than I, whose shoes I am not worthy to bear: he shall baptize you with the Holy Ghost, and with fire:",MATTHEW 3:8,MATTHEW 3:10,MATTHEW 3:11,MATTHEW 3:16,3
6,"And Jesus, when he was baptized, went up straightway out of the water: and, lo, the heavens were opened unto him, and he saw the Spirit of God descending like a dove, and lighting upon him:",MATTHEW 3:8,MATTHEW 3:10,MATTHEW 3:11,MATTHEW 3:16,4
7,"But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.",MATTHEW 4:4,MATTHEW 4:7,MATTHEW 4:10,MATTHEW 4:19,1
8,"Jesus said unto him, It is written again, Thou shalt not tempt the Lord thy God.",MATTHEW 4:4,MATTHEW 4:7,MATTHEW 4:10,MATTHEW 4:19,2
9,"Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.",MATTHEW 4:4,MATTHEW 4:7,MATTHEW 4:10,MATTHEW 4:19,3
10,"And he saith unto them, Follow me, and I will make you fishers of men.",MATTHEW 4:4,MATTHEW 4:7,MATTHEW 4:10,MATTHEW 4:19,4
11,Blessed are the poor in spirit: for theirs is the kingdom of heaven.,MATTHEW 5:3,MATTHEW 5:4,MATTHEW 5:5,MATTHEW 5:6,1
12,Blessed are they that mourn: for they shall be comforted.,MATTHEW 5:3,MATTHEW 5:4,MATTHEW 5:5,MATTHEW 5:6,2
13,Blessed are the meek: for they shall inherit the earth.,MATTHEW 5:3,MATTHEW 5:4,MATTHEW 5:5,MATTHEW 5:6,3
14,Blessed are they which do hunger and thirst after righteousness: for they shall be filled.,MATTHEW 5:3,MATTHEW 5:4,MATTHEW 5:5,MATTHEW 5:6,4
15,Blessed are the merciful: for they shall obtain mercy.,MATTHEW 5:7,MATTHEW 5:8,MATTHEW 5:9,MATTHEW 5:10,1
16,Blessed are the pure in heart: for they shall see God.,MATTHEW 5:7,MATTHEW 5:8,MATTHEW 5:9,MATTHEW 5:10,2
17,Blessed are the peacemakers: for they shall be called the children of God.,MATTHEW 5:7,MATTHEW 5:8,MATTHEW 5:9,MATTHEW 5:10,3
18,Blessed are they which are persecuted for righteousness' sake: for theirs is the kingdom of heaven.,MATTHEW 5:7,MATTHEW 5:8,MATTHEW 5:9,MATTHEW 5:10,4
