S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,,
1,"Being confident of this very thing, that he which hath begun a good work in you will perform it until the day of Jesus Christ.",PHILIPPIANS 1:6,PHILIPPIANS 1:9,PHILIPPIANS 1:18,PHILIPPIANS 1:21,1,,
2,"And this I pray, that your love may abound yet more and more in knowledge and in all judgment;",PHILIPPIANS 1:6,PHILIPPIANS 1:9,PHILIPPIANS 1:18,PHILIPPIANS 1:21,2,,
3,"What then? Notwithstanding, every way, whether in pretence, or in truth, Christ is preached; and I therein do rejoice, yea, and will rejoice.",PHILIPPIANS 1:6,PHILIPPIANS 1:9,PHILIPPIANS 1:18,PHILIPPIANS 1:21,3,,
4,"For to me to live is Christ, and to dieis gain.",PHILIPPIANS 1:6,PHILIPPIANS 1:9,PHILIPPIANS 1:18,PHILIPPIANS 1:21,4,,
5,"If there be therefore any consolation in Christ, if any comfort of love, if any fellowship of the Spirit, if any bowels and mercies,",PHILIPPIANS 2:1,PHILIPPIANS 2:2,PHILIPPIANS 2:3,PHILIPPIANS 2:5,1,,
6,"Fulfil ye my joy, that ye be likeminded, having the same love, being of one accord, of one mind.",PHILIPPIANS 2:1,PHILIPPIANS 2:2,PHILIPPIANS 2:3,PHILIPPIANS 2:5,2,,
7,Let nothing be done through strife or vainglory; but in lowliness of mind let each esteem other better than themselves.,PHILIPPIANS 2:1,PHILIPPIANS 2:2,PHILIPPIANS 2:3,PHILIPPIANS 2:5,3,,
8,Let this mind be in you which was also in Christ Jesus.,PHILIPPIANS 2:1,PHILIPPIANS 2:2,PHILIPPIANS 2:3,PHILIPPIANS 2:5,4,,
9,"Who being in the form of God, thought it not robbery to be equal with God:",PHILIPPIANS 2:5,PHILIPPIANS 2:6,PHILIPPIANS 2:7,PHILIPPIANS 2:8,2,,
10,"But made himself of no reputation, and took upon him the form of a servant, and was made in the likeness of men:",PHILIPPIANS 2:7,PHILIPPIANS 2:8,PHILIPPIANS 2:9,PHILIPPIANS 2:10,1,,
11,"And being found in fashion as a man, he humbled himself, and became obedient unto death, even the death of the cross.",PHILIPPIANS 2:7,PHILIPPIANS 2:8,PHILIPPIANS 2:9,PHILIPPIANS 2:10,2,,
12,"Wherefore God also hath highly exalted him, and given him a name which is above every name.",PHILIPPIANS 2:7,PHILIPPIANS 2:8,PHILIPPIANS 2:9,PHILIPPIANS 2:10,3,,
13,"That at the name of Jesus every knee should bow, of things in heaven, and things in earth, and things under the earth;",PHILIPPIANS 2:7,PHILIPPIANS 2:8,PHILIPPIANS 2:9,PHILIPPIANS 2:10,4,,
14,"And that every tongue should confess that Jesus Christ is Lord, to the glory of God the Father.",PHILIPPIANS 2:9,PHILIPPIANS 2:10,PHILIPPIANS 2:11,PHILIPPIANS 2:13,3,,
