S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"A wise man will hear, and will increase learning; and a man of understanding shall attain unto wise counsels:",PROVERBS 1:5,PROVERBS 1:7,PROVERBS 1:10,PROVERBS 1:22,1
2,The fear of the LORD is the beginning of knowledge: but fools despise wisdom and instruction.,PROVERBS 1:5,PROVERBS 1:7,PROVERBS 1:10,PROVERBS 1:22,2
3,"My son, if sinners entice thee, consent thou not.",PROVERBS 1:5,PROVERBS 1:7,PROVERBS 1:10,PROVERBS 1:22,3
4,"How long, ye simple ones, will ye love simplicity? and the scorners delight in their scorning, and fools hate knowledge?",PROVERBS 1:5,PROVERBS 1:7,PROVERBS 1:10,PROVERBS 1:22,4
5,"But whoso hearkeneth unto me shall dwell safely, and shall be quiet from fear of evil.",PROVERBS 1:33,PROVERBS 2:4,PROVERBS 2:6,PROVERBS 3:1,1
6,"If thou seekest her as silver, and searchest for her as for hid treasures;",PROVERBS 1:33,PROVERBS 2:4,PROVERBS 2:6,PROVERBS 3:1,2
7,For the LORD giveth wisdom: out of his mouth cometh knowledge and understanding.,PROVERBS 1:33,PROVERBS 2:4,PROVERBS 2:6,PROVERBS 3:1,3
8,"My son, forget not my law; but let thine heart keep my commandments:",PROVERBS 1:33,PROVERBS 2:4,PROVERBS 2:6,PROVERBS 3:1,4
9,"For length of days, and long life, and peace, shall they add to thee.",PROVERBS 3:2,PROVERBS 3:3,PROVERBS 3:4,PROVERBS 3:5,1
10,Let not mercy and truth forsake thee: bind them about thy neck; write them upon the table of thine heart:,PROVERBS 3:2,PROVERBS 3:3,PROVERBS 3:4,PROVERBS 3:5,2
11,So shalt thou find favour and good understanding in the sight of God and man.,PROVERBS 3:2,PROVERBS 3:3,PROVERBS 3:4,PROVERBS 3:5,3
12,Trust in the LORD with all thine heart; and lean not unto thine own understanding.,PROVERBS 3:2,PROVERBS 3:3,PROVERBS 3:4,PROVERBS 3:5,4
13,"In all thy ways acknowledge him, and he shall direct thy paths.",PROVERBS 3:6,PROVERBS 3:7,PROVERBS 3:8,PROVERBS 3:9,1
14,"Be not wise in thine own eyes: fear the LORD, and depart from evil.",PROVERBS 3:6,PROVERBS 3:7,PROVERBS 3:8,PROVERBS 3:9,2
15,"It shall be health to thy navel, and marrow to thy bones.",PROVERBS 3:6,PROVERBS 3:7,PROVERBS 3:8,PROVERBS 3:9,3
16,"Honour the LORD with thy substance, and with the firstfruits of all thine increase:",PROVERBS 3:6,PROVERBS 3:7,PROVERBS 3:8,PROVERBS 3:9,4
17,"My son, despise not the chastening of the LORD; neither be weary of his correction:",PROVERBS 3:11,PROVERBS 3:12,PROVERBS 3:13,PROVERBS 3:24,1
18,For whom the LORD loveth he correcteth; even as a father the son in whom he delighteth.,PROVERBS 3:11,PROVERBS 3:12,PROVERBS 3:13,PROVERBS 3:24,2
19,"Happy is the man that findeth wisdom, and the man that getteth understanding.",PROVERBS 3:11,PROVERBS 3:12,PROVERBS 3:13,PROVERBS 3:24,3
20,"When thou liest down, thou shalt not be afraid: yea, thou shalt lie down, and thy sleep shall be sweet.",PROVERBS 3:11,PROVERBS 3:12,PROVERBS 3:13,PROVERBS 3:24,4
21,"For the LORD shall be thy confidence, and shall keep thy foot from being taken.",PROVERBS 3:26,PROVERBS 3:27,PROVERBS 3:28,PROVERBS 3:29,1
22,"Withhold not good from them to whom it is due, when it is in the power of thine hand to do it.",PROVERBS 3:26,PROVERBS 3:27,PROVERBS 3:28,PROVERBS 3:29,2
23,"Say not unto thy neighbour, Go, and come again, and to morrow I will give; when thou hast it by thee.",PROVERBS 3:26,PROVERBS 3:27,PROVERBS 3:28,PROVERBS 3:29,3
24,"Devise not evil against thy neighbour, seeing he dwelleth securely by thee.",PROVERBS 3:26,PROVERBS 3:27,PROVERBS 3:28,PROVERBS 3:29,4
25,"Strive not with a man without cause, if he have done thee no harm.",PROVERBS 3:30,PROVERBS 3:33,PROVERBS 3:34,PROVERBS 3:35,1
26,The curse of the LORD is in the house of the wicked: but he blesseth the habitation of the just.,PROVERBS 3:30,PROVERBS 3:33,PROVERBS 3:34,PROVERBS 3:35,2
27,Surely he scorneth the scorners: but he giveth grace unto the lowly.,PROVERBS 3:30,PROVERBS 3:33,PROVERBS 3:34,PROVERBS 3:35,3
28,The wise shall inherit glory: but shame shall be the promotion of fools.,PROVERBS 3:30,PROVERBS 3:33,PROVERBS 3:34,PROVERBS 3:35,4
29,"Hear, ye children, the instruction of a father, and attend to know understanding.",PROVERBS 4:1,PROVERBS 4:7,PROVERBS 4:12,PROVERBS 4:18,1
30,Wisdom is the principal thing; therefore get wisdom: and with all thy getting get understanding.,PROVERBS 4:1,PROVERBS 4:7,PROVERBS 4:12,PROVERBS 4:18,2
31,"When thou goest, thy steps shall not be straitened; and when thou runnest, thou shalt not stumble.",PROVERBS 4:1,PROVERBS 4:7,PROVERBS 4:12,PROVERBS 4:18,3
32,"But the path of the just is as the shining light, that shineth more and more unto the perfect day.",PROVERBS 4:1,PROVERBS 4:7,PROVERBS 4:12,PROVERBS 4:18,4
33,The way of the wicked is as darkness: they know not at what they stumble.,PROVERBS 4:19,PROVERBS 4:20,PROVERBS 4:23,PROVERBS 4:24,1
34,"My son, attend to my words; incline thine ear unto my sayings.",PROVERBS 4:19,PROVERBS 4:20,PROVERBS 4:23,PROVERBS 4:24,2
35,Keep thy heart with all diligence; for out of it are the issues of life.,PROVERBS 4:19,PROVERBS 4:20,PROVERBS 4:23,PROVERBS 4:24,3
36,"Put away from thee a froward mouth, and perverse lips put far from thee.",PROVERBS 4:19,PROVERBS 4:20,PROVERBS 4:23,PROVERBS 4:24,4
37,"Ponder the path of thy feet, and let all thy ways be established.",PROVERBS 4:26,PROVERBS 5:3,PROVERBS 5:15,PROVERBS 5:21,1
38,"For the lips of a strange woman drop as an honeycomb, and her mouth is smoother than oil:",PROVERBS 4:26,PROVERBS 5:3,PROVERBS 5:15,PROVERBS 5:21,2
39,"Drink waters out of thine own cistern, and running waters out of thine own well.",PROVERBS 4:26,PROVERBS 5:3,PROVERBS 5:15,PROVERBS 5:21,3
40,"For the ways of man are before the eyes of the LORD, and he pondereth all his goings.",PROVERBS 4:26,PROVERBS 5:3,PROVERBS 5:15,PROVERBS 5:21,4
41,"Go to the ant, thou sluggard; consider her ways, and be wise:",PROVERBS 6:6,PROVERBS 6:10,PROVERBS 6:11,PROVERBS 6:16,1
42,"Yet a little sleep, a little slumber, a little folding of the hands to sleep:",PROVERBS 6:6,PROVERBS 6:10,PROVERBS 6:11,PROVERBS 6:16,2
43,"So shall thy poverty come as one that travelleth, and thy want as an armed man.",PROVERBS 6:6,PROVERBS 6:10,PROVERBS 6:11,PROVERBS 6:16,3
44,"These six things doth the LORD hate: yea, seven are an abomination unto him:",PROVERBS 6:6,PROVERBS 6:10,PROVERBS 6:11,PROVERBS 6:16,4
45,"A proud look, a lying tongue, and hands that shed innocent blood,",PROVERBS 6:17,PROVERBS 6:18,PROVERBS 6:19,PROVERBS 6:22,1
46,"An heart that deviseth wicked imaginations, feet that be swift in running to mischief,",PROVERBS 6:17,PROVERBS 6:18,PROVERBS 6:19,PROVERBS 6:22,2
