S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.",PSALMS 1:1,PSALMS 1:2,PSALMS 1:3,PSALMS 1:6,1
2,But his delight is in the law of the LORD; and in his law doth he meditate day and night.,PSALMS 1:1,PSALMS 1:2,PSALMS 1:3,PSALMS 1:6,2
3,"And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper.",PSALMS 1:1,PSALMS 1:2,PSALMS 1:3,PSALMS 1:6,3
4,For the LORD knoweth the way of the righteous: but the way of the ungodly shall perish.,PSALMS 1:1,PSALMS 1:2,PSALMS 1:3,PSALMS 1:6,4
5,"Why do the heathen rage, and the people imagine a vain thing?",PSALMS 2:1,PSALMS 2:4,PSALMS 2:8,PSALMS 2:9,
6,He that sitteth in the heavens shall laugh: the LORD shall have them in derision.,PSALMS 2:1,PSALMS 2:4,PSALMS 2:8,PSALMS 2:9,
7,"Ask of me, and I shall give thee the heathen for thine inheritance, and the uttermost parts of the earth for thy possession.",PSALMS 2:1,PSALMS 2:4,PSALMS 2:8,PSALMS 2:9,
8,Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter's vessel.,PSALMS 2:1,PSALMS 2:4,PSALMS 2:8,PSALMS 2:9,
9,"Serve the LORD with fear, and rejoice with trembling.",PSALMS 2:11,PSALMS 3:3,PSALMS 3:4,PSALMS 3:6,
10,"But thou, O LORD, art a shield for me; my glory, and the lifter up of mine head.",PSALMS 2:11,PSALMS 3:3,PSALMS 3:4,PSALMS 3:6,
11,"I cried unto the LORD with my voice, and he heard me out of his holy hill. Selah.",PSALMS 2:11,PSALMS 3:3,PSALMS 3:4,PSALMS 3:6,
12,"I will not be afraid of ten thousands of people, that have set themselves against me round about.",PSALMS 2:11,PSALMS 3:3,PSALMS 3:4,PSALMS 3:6,
13,"Arise, O LORD; save me, O my God: for thou hast smitten all mine enemies upon the cheek bone; thou hast broken the teeth of the ungodly.",PSALMS 3:7,PSALMS 4:3,PSALMS 4:6,PSALMS 5:3,
14,But know that the LORD hath set apart him that is godly for himself: the LORD will hear when I call unto him.,PSALMS 3:7,PSALMS 4:3,PSALMS 4:6,PSALMS 5:3,
15,"There be many that say, Who will shew us any good? LORD, lift thou up the light of thy countenance upon us.",PSALMS 3:7,PSALMS 4:3,PSALMS 4:6,PSALMS 5:3,
,,PSALMS 3:7,PSALMS 4:3,PSALMS 4:6,PSALMS 5:3,
,,PSALMS 5:7,PSALMS 5:8,PSALMS 5:10,PSALMS 6:8,
,,PSALMS 5:7,PSALMS 5:8,PSALMS 5:10,PSALMS 6:8,
,,PSALMS 5:7,PSALMS 5:8,PSALMS 5:10,PSALMS 6:8,
,,PSALMS 5:7,PSALMS 5:8,PSALMS 5:10,PSALMS 6:8,
,,PSALMS 6:10,PSALMS 7:9,PSALMS 7:10,PSALMS 8:1,
,,PSALMS 6:10,PSALMS 7:9,PSALMS 7:10,PSALMS 8:1,
,,PSALMS 6:10,PSALMS 7:9,PSALMS 7:10,PSALMS 8:1,
,,PSALMS 6:10,PSALMS 7:9,PSALMS 7:10,PSALMS 8:1,
,,PSALMS 8:2,PSALMS 8:3,PSALMS 8:4,PSALMS 8:5,
,,PSALMS 8:2,PSALMS 8:3,PSALMS 8:4,PSALMS 8:5,
,,PSALMS 8:2,PSALMS 8:3,PSALMS 8:4,PSALMS 8:5,
,,PSALMS 8:2,PSALMS 8:3,PSALMS 8:4,PSALMS 8:5,
,,PSALMS 8:6,PSALMS 8:9,,,
