S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"Blessed is he that readeth, and they that hear the words of this prophecy, and keep those things which are written therein: for the time is at hand.",REVELATION 1:3,REVELATION 1:8,REVELATION 1:18,REVELATION 2:25,1
2,"I am Alpha and Omega, the beginning and the ending, saith the Lord, which is, and which was, and which is to come, the Almighty.",REVELATION 1:3,REVELATION 1:8,REVELATION 1:18,REVELATION 2:25,2
3,"I am he that liveth, and was dead; and, behold, I am alive for evermore, Amen; and have the keys of hell and of death.",REVELATION 1:3,REVELATION 1:8,REVELATION 1:18,REVELATION 2:25,3
4,But that which ye have already hold fast till I come.,REVELATION 1:3,REVELATION 1:8,REVELATION 1:18,REVELATION 2:25,4
5,"And he that overcometh, and keepeth my works unto the end, to him will I give power over the nations.",REVELATION 2:25,REVELATION 2:26,REVELATION 2:27,REVELATION 2:29,2
6,And he shall rule them with a rod of iron; as the vessels of a potter shall they be broken to shivers: even as I received of my Father.,REVELATION 2:25,REVELATION 2:26,REVELATION 2:27,REVELATION 2:29,3
7,"He that hath an ear, let him hear what the Spirit saith unto the churches.",REVELATION 2:25,REVELATION 2:26,REVELATION 2:27,REVELATION 2:29,4
8,"Because thou hast kept the word of my patience, I also will keep thee from the hour of temptation, which shall come upon all the world, to try them that dwell upon the earth.",REVELATION 3:10,REVELATION 3:11,REVELATION 3:16,REVELATION 3:18,1
9,"Behold, I come quickly; hold that fast which thou hast, that no man take thy crown.",REVELATION 3:10,REVELATION 3:11,REVELATION 3:16,REVELATION 3:18,2
10,"So then because thou art lukewarm, and neither cold nor hot, I will spue thee out of my mouth.",REVELATION 3:10,REVELATION 3:11,REVELATION 3:16,REVELATION 3:18,3
11,"I counsel thee to buy of me gold tried in the fire, that thou mayest be rich; and white raiment, that thou mayest be clothed, and that the shame of thy nakedness do not appear; and anoint thine eyes with eyesalve, that thou mayest see.",REVELATION 3:10,REVELATION 3:11,REVELATION 3:16,REVELATION 3:18,4
12,"As many as I love, I rebuke and chasten: be zealous therefore, and repent.",REVELATION 3:19,REVELATION 3:20,REVELATION 4:8,REVELATION 4:11,1
