S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"For I am not ashamed of the gospel of Christ: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek.",ROMANS 1:16,ROMANS 1:17,ROMANS 1:18,ROMANS 1:20,1
2,"For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.",ROMANS 1:16,ROMANS 1:17,ROMANS 1:18,ROMANS 1:20,2
3,"For the wrath of God is revealed from heaven against all ungodliness and unrighteousness of men, who hold the truth in unrighteousness;",ROMANS 1:16,ROMANS 1:17,ROMANS 1:18,ROMANS 1:20,3
4,"For the invisible things of him from the creation of the world are clearly seen, being understood by the things that are made, even his eternal power and Godhead; so that they are without excuse:",ROMANS 1:16,ROMANS 1:17,ROMANS 1:18,ROMANS 1:20,4
5,"Because that, when they knew God, they glorified him not as God, neither were thankful; but became vain in their imaginations, and their foolish heart was darkened.",ROMANS 1:21,ROMANS 1:22,ROMANS 1:28,ROMANS 1:32,1
6,"Professing themselves to be wise, they became fools,",ROMANS 1:21,ROMANS 1:22,ROMANS 1:28,ROMANS 1:32,2
7,"And even as they did  not like to retain God in their knowledge, God gave them over to a reprobate mind, to do those things which are not convenient.",ROMANS 1:21,ROMANS 1:22,ROMANS 1:28,ROMANS 1:32,3
8,"Who knowing the judgment of God, that they which commit such things are worthy of death, not only do the same, but have pleasure in them that do them.",ROMANS 1:21,ROMANS 1:22,ROMANS 1:28,ROMANS 1:32,4
9,For there is no respect of persons with God.,ROMANS 2:11,ROMANS 2:13,ROMANS 2:15,ROMANS 2:16,1
10,"(For not the hearers of the law are just before God, but the doers of the law shall be justified.",ROMANS 2:11,ROMANS 2:13,ROMANS 2:15,ROMANS 2:16,2
11,"Which shew the work of the law written in their hearts, their conscience also bearing witness, and their thoughts the mean while accusing or else excusing one another;)",ROMANS 2:11,ROMANS 2:13,ROMANS 2:15,ROMANS 2:16,3
12,In the day when God shall judge the secrets of men by Jesus Christ according to my gospel,ROMANS 2:11,ROMANS 2:13,ROMANS 2:15,ROMANS 2:16,4
13,"Thou therefore which teachest another, teachest thou not thyself? thou that preachest a man should not steal, dost thou steal?",ROMANS 2:21,ROMANS 3:4,ROMANS 3:20,ROMANS 3:23,1
14,"God forbid: yea, let God be true, but every man a liar; as it is written, That thou mightest be justified in thy sayings, and mightest overcome when thou art judged.",ROMANS 2:21,ROMANS 3:4,ROMANS 3:20,ROMANS 3:23,2
15,Therefore by the deeds of the law there shall no flesh be justified in his sight: for by the law is the knowledge of sin.,ROMANS 2:21,ROMANS 3:4,ROMANS 3:20,ROMANS 3:23,3
16,"For all have sinned, and come short of the glory of God;",ROMANS 2:21,ROMANS 3:4,ROMANS 3:20,ROMANS 3:23,4
17,"For what saith the scripture? Abraham believed God, and it was counted unto him for righteousness.",ROMANS 4:3,ROMANS 4:8,ROMANS 4:11,ROMANS 4:12,1
18,Blessed is the man to whom the Lord will not impute sin.,ROMANS 4:3,ROMANS 4:8,ROMANS 4:11,ROMANS 4:12,2
19,"And he received the sign of circumcision, a seal of the righteousness of the faith which he had yet being uncircumcised: that he might be the father of all them that believe, though they be not circumcised; that righteousness might be imputed unto them also:",ROMANS 4:3,ROMANS 4:8,ROMANS 4:11,ROMANS 4:12,3
20,"And the father of circumcision to them who are not of the circumcision only, but who also walk in the steps of that faith of our father Abraham, which he had being yet uncircumcised.",ROMANS 4:3,ROMANS 4:8,ROMANS 4:11,ROMANS 4:12,4
21,"(As it is written, I have made thee a father of many nations,) before him whom he believed, even God, who quickeneth the dead, and calleth those things which be not as though they were.",ROMANS 4:20,ROMANS 4:21,ROMANS 5:1,ROMANS 5:3,1
22,"He staggered not at the promise of God through unbelief; but was strong in faith, giving glory to God;",ROMANS 4:20,ROMANS 4:21,ROMANS 5:1,ROMANS 5:3,2
23,"Therefore being justified by faith, we have peace with God through our Lord Jesus Christ:",ROMANS 4:20,ROMANS 4:21,ROMANS 5:1,ROMANS 5:3,3
24,"And not only so, but we glory in tribulations also: knowing that tribulation worketh patience;",ROMANS 4:20,ROMANS 4:21,ROMANS 5:1,ROMANS 5:3,4
25,"And patience, experience; and experience, hope:",ROMANS 5:4,ROMANS 5:5,ROMANS 5:6,ROMANS 5:7,1
26,And hope maketh not ashamed; because the love of God is shed abroad in our hearts by the Holy Ghost which is given unto us.,ROMANS 5:4,ROMANS 5:5,ROMANS 5:6,ROMANS 5:7,2
27,"For when we were yet without strength, in due time Christ died for the ungodly.",ROMANS 5:4,ROMANS 5:5,ROMANS 5:6,ROMANS 5:7,3
28,For scarcely for a righteous man will one die: yet peradventure for a good man some would even dare to die.,ROMANS 5:4,ROMANS 5:5,ROMANS 5:6,ROMANS 5:7,4
29,"Wherefore, as by one man sin entered into the world, and death by sin; and so death passed upon all men, for that all have sinned:",ROMANS 5:12,ROMANS 5:20,ROMANS 5:21,ROMANS 6:1,1
30,"Moreover the law entered, that the offence might abound. But where sin abounded, grace did much more abound:",ROMANS 5:12,ROMANS 5:20,ROMANS 5:21,ROMANS 6:1,2
31,"That as sin hath reigned unto death, even so might grace reign through righteousness unto eternal life by Jesus Christ our Lord.",ROMANS 5:12,ROMANS 5:20,ROMANS 5:21,ROMANS 6:1,3
32,"What shall we say then? Shall we continue in sin, that grace may abound?",ROMANS 5:12,ROMANS 5:20,ROMANS 5:21,ROMANS 6:1,4
33,"Knowing this, that our old man is crucified with him, that the body of sin might be destroyed, that henceforth we should not serve sin.",ROMANS 6:6,ROMANS 6:12,ROMANS 6:13,ROMANS 6:14,1
34,"Let not sin therefore reign in your mortal body, that ye should obey it in the lusts thereof.",ROMANS 6:6,ROMANS 6:12,ROMANS 6:13,ROMANS 6:14,2
35,"Neither yield ye your members as instruments of unrighteousness unto sin: but yield yourselves unto God, as those that are alive from the dead, and your members as instruments of righteousness unto God.",ROMANS 6:6,ROMANS 6:12,ROMANS 6:13,ROMANS 6:14,3
36,"For sin shall not have dominion over you: for ye are not under the law, but under grace.",ROMANS 6:6,ROMANS 6:12,ROMANS 6:13,ROMANS 6:14,4
37,"Know ye not, that to whom ye yield yourselves servants to obey, his servants ye are to whom ye obey; whether of sin unto death, or of obedience unto righteousness?",ROMANS 6:16,ROMANS 6:23,ROMANS 7:5,ROMANS 7:6,1
