S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
1,"Hold thy peace at the presence of the Lord GOD: for the day of the LORD is at hand: for the LORD hath prepared a sacrifice, he hath bid his guests.",ZEPHANIAH 1:7,ZEPHANIAH 1:14,ZEPHANIAH 1:15,ZEPHANIAH 2:3,1
2,"The great day of the LORD is near, it is near, and hasteth greatly, even the voice of the day of the LORD: the mighty man shall cry there bitterly.",ZEPHANIAH 1:7,ZEPHANIAH 1:14,ZEPHANIAH 1:15,ZEPHANIAH 2:3,2
3,"That day is a day of wrath, a day of trouble and distress, a day of wasteness and desolation, a day of darkness and gloominess, a day of clouds and thick darkness,",ZEPHANIAH 1:7,ZEPHANIAH 1:14,ZEPHANIAH 1:15,ZEPHANIAH 2:3,3
4,"Seek ye the Lord, all ye meek of the earth, which have wrought his judgment; seek righteousness, seek meekness: it may be ye shall be hid in the day of the Lord's anger.",ZEPHANIAH 1:7,ZEPHANIAH 1:14,ZEPHANIAH 1:15,ZEPHANIAH 2:3,4
5,"The just Lord is in the midst thereof; he will not do iniquity: every morning doth he bring his judgment to light, he faileth not; but the unjust knoweth no shame.",ZEPHANIAH 3:5,ZEPHANIAH 3:9,ZEPHANIAH 3:15,ZEPHANIAH 3:17,1
6,"For then will I turn to the people a pure language, that they may all call upon the name of the Lord, to serve him with one consent.",ZEPHANIAH 3:5,ZEPHANIAH 3:9,ZEPHANIAH 3:15,ZEPHANIAH 3:17,2
7,"The Lord hath taken away thy judgments, he hath cast out thine enemy: the king of Israel, even the Lord, is in the midst of thee: thou shalt not see evil any more.",ZEPHANIAH 3:5,ZEPHANIAH 3:9,ZEPHANIAH 3:15,ZEPHANIAH 3:17,3
8,"The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy; he will rest in his love, he will joy over thee with singing.",ZEPHANIAH 3:5,ZEPHANIAH 3:9,ZEPHANIAH 3:15,ZEPHANIAH 3:17,4
9,"Behold, at that time I will undo all that afflict thee: and I will save her that halteth, and gather her that was driven out; and I will get them praise and fame in every land where they have been put to shame.",ZEPHANIAH 3:15,ZEPHANIAH 3:17,ZEPHANIAH 3:19,ZEPHANIAH 3:20,3
10,"At that time will I bring you again, even in the time that I gather you: for I will make you a name and a praise among all people of the earth, when I turn back your captivity before your eyes, saith the Lord.",ZEPHANIAH 3:15,ZEPHANIAH 3:17,ZEPHANIAH 3:19,ZEPHANIAH 3:20,4
